DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),Total, ,70,3667883,233751,144124,3290008
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 583 Dt:30/12/2017] , Billno-SML042432017100008",1,95000,0,0,95000
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1081 Dt:05/01/2018] , Billno-SML04243122017-001",1,40042,0,2130,37912
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1156 Dt:06/11/2017] , Billno-SML04243102017-001",1,40042,0,2130,37912
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1242 Dt:05/04/2018] , Billno-SML04243032018-001",1,41453,0,2158,39295
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1290 Dt:05/02/2018] , Billno-SML04243012018-001",1,40676,0,2158,38518
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1544 Dt:05/05/2018] , Billno-SML04243042018-001",1,59853,0,2158,57695
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1547 Dt:05/03/2018] , Billno-SML04243022018-001",1,41453,0,2158,39295
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1632 Dt:05/06/2018] , Billno-SML04243052018-001",1,59853,0,2158,57695
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1747 Dt:05/07/2018] , Billno-SML04243062018-001",1,36251,0,0,36251
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2860 Dt:31/07/2018] , Billno-SML042432018100013",1,24362,0,2224,22138
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3256 Dt:28/02/2018] , Billno-SML042432017100015",1,1626,0,0,1626
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 361 Dt:06/10/2017] , Billno-SML04243092017-001",1,40042,0,2130,37912
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 6565 Dt:31/03/2018] , Billno-SML042432017100021",1,17603,0,0,17603
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 667 Dt:05/12/2017] , Billno-SML04243112017-001",1,40042,0,2290,37752
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 692 Dt:06/08/2018] , Billno-SML04243072018-001",1,60613,0,2224,58389
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 7064 Dt:31/03/2018] , Billno-SML042432017100036",1,5000,0,0,5000
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 2934 Dt:30/06/2018] , Billno-SML042432018100009",1,1183,0,0,1183
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 6724 Dt:31/03/2018] , Billno-SML042432017100027",1,1212,0,0,1212
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1669 Dt:05/06/2018] , Billno-SML042432018100005",1,34230,0,0,34230
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1670 Dt:05/06/2018] , Billno-SML042432018100007",1,1215,0,0,1215
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2839 Dt:31/07/2018] , Billno-SML042432018100014",1,17915,0,0,17915
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2861 Dt:31/07/2018] , Billno-SML042432018100015",1,1600,0,0,1600
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2884 Dt:31/08/2018] , Billno-SML042432018100019",1,17915,0,0,17915
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 6778 Dt:31/03/2018] , Billno-SML042432017100028",1,117780,0,0,117780
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 6779 Dt:31/03/2018] , Billno-SML042432017100029",1,116749,0,0,116749
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 7265 Dt:31/03/2018] , Billno-SML042432017100037",1,15900,0,0,15900
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1668 Dt:05/06/2018] , Billno-SML042432018100004",1,28080,0,0,28080
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2556 Dt:30/01/2018] , Billno-SML042432017100010",1,7020,0,0,7020
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2557 Dt:30/01/2018] , Billno-SML042432017100011",1,7020,0,0,7020
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2558 Dt:30/01/2018] , Billno-SML042432017100012",1,7020,0,0,7020
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2559 Dt:30/01/2018] , Billno-SML042432017100013",1,7020,0,0,7020
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2838 Dt:31/07/2018] , Billno-SML042432018100011",1,7020,0,0,7020
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 712 Dt:06/08/2018] , Billno-SML042432018100018",1,7020,0,0,7020
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1082 Dt:05/01/2018] , Billno-SML04243122017-002",1,171750,37000,10947,123803
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1083 Dt:05/01/2018] , Billno-SML04243122017-003",1,86150,0,0,86150
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1157 Dt:06/11/2017] , Billno-SML04243102017-002",1,164400,37000,10795,116605
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1158 Dt:06/11/2017] , Billno-SML04243102017-003",1,86150,0,0,86150
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1243 Dt:05/04/2018] , Billno-SML04243032018-002",1,84722,44917,60,39745
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1244 Dt:05/04/2018] , Billno-SML04243032018-003",1,181205,0,5318,175887
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1291 Dt:05/02/2018] , Billno-SML04243012018-002",1,86150,0,0,86150
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1292 Dt:05/02/2018] , Billno-SML04243012018-003",1,173840,37000,11013,125827
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1545 Dt:05/05/2018] , Billno-SML04243042018-002",1,168290,0,6560,161730
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1548 Dt:05/03/2018] , Billno-SML04243022018-002",1,84722,34917,24561,25244
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1549 Dt:05/03/2018] , Billno-SML04243022018-003",1,180840,0,12527,168313
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1576 Dt:05/05/2018] , Billno-SML042432018100002",1,64068,0,0,64068
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1628 Dt:05/06/2018] , Billno-SML04243052018-002",1,168290,0,6560,161730
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1748 Dt:05/07/2018] , Billno-SML04243062018-002",1,168290,0,6560,161730
SML04-243-PRINCIPAL GSSS DHAR TARPUNOO(TALI),08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2741 Dt:30/11/2017] , Billno-SML042432017100003",1,6864,0,688,6176
