DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,Total, ,61,1333913,290496,88671,954746
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 100 Dt:28/02/2018] , Billno-SML055001722030002",1,24,0,24,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 149 Dt:31/08/2018] , Billno-SML055001882030001",1,14,0,14,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 222 Dt:29/09/2017] , Billno-SML055001792030003",1,24,0,24,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 231 Dt:31/07/2017] , Billno-SML055001772030002",1,22,0,22,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 272 Dt:31/05/2017] , Billno-SML055001752030001",1,24,0,24,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 275 Dt:31/05/2017] , Billno-SML055001752030004",1,24,0,24,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 321 Dt:29/05/2018] , Billno-SML055001852030002",1,48,0,48,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 230 Dt:31/07/2017] , Billno-SML055001772030001",1,76,0,76,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-01-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 276 Dt:31/05/2017] , Billno-SML055001752030005",1,640,0,640,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 101 Dt:28/02/2018] , Billno-SML055001722030003",1,100,0,100,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 150 Dt:31/08/2018] , Billno-SML055001882030002",1,20,0,20,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 208 Dt:30/01/2018] , Billno-SML055001712030001",1,40,0,40,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 216 Dt:31/10/2017] , Billno-SML055001702030001",1,40,0,40,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 217 Dt:31/10/2017] , Billno-SML055001702030002",1,836,0,836,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 220 Dt:29/09/2017] , Billno-SML055001792030001",1,40,0,40,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 221 Dt:29/09/2017] , Billno-SML055001792030002",1,100,0,100,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 226 Dt:31/08/2017] , Billno-SML055001782030001",1,40,0,40,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 273 Dt:31/05/2017] , Billno-SML055001752030002",1,288,0,288,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 274 Dt:31/05/2017] , Billno-SML055001752030003",1,28,0,28,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 280 Dt:31/07/2018] , Billno-SML055001872030001",1,40,0,40,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 314 Dt:31/03/2018] , Billno-SML055001732030001",1,40,0,40,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 320 Dt:29/05/2018] , Billno-SML055001852030001",1,62,0,62,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 322 Dt:29/05/2018] , Billno-SML055001852030003",1,420,0,420,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 58 Dt:30/06/2018] , Billno-SML055001862030001",1,80,0,80,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 95 Dt:27/04/2018] , Billno-SML055001842030001",1,120,0,120,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 96 Dt:27/04/2018] , Billno-SML055001842030002",1,40,0,40,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 99 Dt:28/02/2018] , Billno-SML055001722030001",1,48,0,48,0
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 24 Dt:29/04/2017] , Billno-SML05500032017-001",1,61483,17088,3167,41228
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:29/04/2017] , Billno-SML05500032017-002",1,9696,0,0,9696
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:29/09/2017] , Billno-SML05500082017-001",1,63204,17088,3237,42879
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:30/01/2018] , Billno-SML05500122017-001",1,45788,17088,1577,27123
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:30/06/2018] , Billno-SML05500052018-001",1,48900,17088,1777,30035
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:31/08/2018] , Billno-SML05500072018-001",1,48950,17088,1777,30085
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 26 Dt:29/09/2017] , Billno-SML05500082017-002",1,19436,0,3601,15835
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 26 Dt:30/01/2018] , Billno-SML05500122017-002",1,16583,0,3525,13058
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 26 Dt:30/06/2018] , Billno-SML05500052018-002",1,40740,0,3648,37092
SML05-500-DISTRICT TREASURY OFFICER SHIMLA,29-2054-00-097-01-S00N-V-N-01-SALARIES,"[TRVch# 26 Dt:31/08/2018] , Billno-SML05500072018-002",1,41298,0,3700,37598
