DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"SML06-608-E.E. PWD DIVISION,ROHRU",Total, ,13,364997,0,0,364997
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 12 Dt:05/08/2017] , Billno-SML066080316111415",1,10000,0,0,10000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 13 Dt:05/08/2017] , Billno-SML066080316111416",1,12000,0,0,12000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 190 Dt:30/06/2017] , Billno-SML066080316111412",1,15000,0,0,15000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 24 Dt:06/08/2018] , Billno-SML066080300966939",1,15000,0,0,15000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 253 Dt:30/12/2017] , Billno-SML066080300966937",1,20000,0,0,20000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 258 Dt:30/01/2018] , Billno-SML066080300966938",1,40000,0,0,40000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 291 Dt:31/08/2017] , Billno-SML066080316111417",1,10000,0,0,10000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 359 Dt:31/07/2017] , Billno-SML066080316111413",1,10000,0,0,10000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 360 Dt:31/07/2017] , Billno-SML066080316111414",1,10000,0,0,10000
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 582 Dt:31/03/2018] , Billno-SML066080316111420",1,113097,0,0,113097
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 589 Dt:31/03/2018] , Billno-SML066080316111418",1,4950,0,0,4950
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 590 Dt:31/03/2018] , Billno-SML066080316111419",1,4950,0,0,4950
"SML06-608-E.E. PWD DIVISION,ROHRU",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 594 Dt:31/03/2018] , Billno-SML066080316111421",1,100000,0,0,100000
