DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML07-208-GSSS PEKHA,Total, ,113,9013346,435903,423060,8154383
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 404 Dt:29/04/2017] , Billno-SML07208032017-001",1,79300,15,0,79285
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 405 Dt:29/04/2017] , Billno-SML07208032017-002",1,108862,15,12231,96616
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 406 Dt:29/04/2017] , Billno-SML07208032017-003",1,82045,20000,2120,59925
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 407 Dt:29/04/2017] , Billno-SML07208032017-004",1,69880,0,0,69880
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 408 Dt:29/04/2017] , Billno-SML07208032017-005",1,56513,15,2383,54115
SML07-208-GSSS PEKHA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 1129 Dt:31/05/2017] , Billno-SML072082017100001",1,500000,0,0,500000
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3721 Dt:31/05/2017] , Billno-SML07208042017-001",1,82786,15,0,82771
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3722 Dt:31/05/2017] , Billno-SML07208042017-002",1,110916,15,12329,98572
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3723 Dt:31/05/2017] , Billno-SML07208042017-003",1,83092,20000,2120,60972
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3724 Dt:31/05/2017] , Billno-SML07208042017-004",1,74080,0,0,74080
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3725 Dt:31/05/2017] , Billno-SML07208042017-005",1,57212,15,3554,53643
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1211 Dt:30/06/2017] , Billno-SML07208052017-001",1,82786,15,0,82771
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1212 Dt:30/06/2017] , Billno-SML07208052017-002",1,110916,15,12329,98572
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1213 Dt:30/06/2017] , Billno-SML07208052017-003",1,83092,20000,2120,60972
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1214 Dt:30/06/2017] , Billno-SML07208052017-004",1,74080,0,0,74080
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1215 Dt:30/06/2017] , Billno-SML07208052017-005",1,57212,15,3554,53643
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2086 Dt:31/07/2017] , Billno-SML07208062017-001",1,98500,24,1426,97050
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2087 Dt:31/07/2017] , Billno-SML07208062017-002",1,52606,15,8093,44498
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2088 Dt:31/07/2017] , Billno-SML07208062017-003",1,83092,20000,2120,60972
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2089 Dt:31/07/2017] , Billno-SML07208062017-004",1,102387,19000,6153,77234
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2090 Dt:31/07/2017] , Billno-SML07208062017-005",1,32507,15,4143,28349
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2252 Dt:31/08/2017] , Billno-SML072082017100003",1,8934,0,805,8129
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2254 Dt:31/08/2017] , Billno-SML072082017100002",1,930,0,0,930
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 338 Dt:05/08/2017] , Billno-SML07208072017-001",1,98550,24,1426,97100
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 339 Dt:05/08/2017] , Billno-SML07208072017-002",1,69306,15,8093,61198
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2251 Dt:31/08/2017] , Billno-SML072082017100005",1,5604,0,274,5330
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2253 Dt:31/08/2017] , Billno-SML072082017100004",1,8923,8923,0,0
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 340 Dt:05/08/2017] , Billno-SML07208072017-003",1,83092,20000,2120,60972
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 341 Dt:05/08/2017] , Billno-SML07208072017-004",1,103260,19000,6153,78107
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 342 Dt:05/08/2017] , Billno-SML07208072017-005",1,33946,15,4274,29657
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1474 Dt:05/09/2017] , Billno-SML07208082017-001",1,99354,24,1426,97904
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1475 Dt:05/09/2017] , Billno-SML07208082017-002",1,70175,15,8093,62067
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1476 Dt:05/09/2017] , Billno-SML07208082017-003",1,84487,20000,2120,62367
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1477 Dt:05/09/2017] , Billno-SML07208082017-004",1,103738,19000,6153,78585
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1478 Dt:05/09/2017] , Billno-SML07208082017-005",1,34488,15,4274,30199
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1147 Dt:06/10/2017] , Billno-SML07208092017-001",1,99602,24,1451,98127
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1148 Dt:06/10/2017] , Billno-SML07208092017-002",1,71044,15,8180,62849
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2478 Dt:31/10/2017] , Billno-SML072082017100009",1,3652,0,200,3452
SML07-208-GSSS PEKHA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2479 Dt:31/10/2017] , Billno-SML072082017100010",1,6904,0,691,6213
SML07-208-GSSS PEKHA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1149 Dt:06/10/2017] , Billno-SML07208092017-003",1,85883,0,2120,83763
