DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML07-213-HM GHS JANGLIKH,Total, ,99,4712476,368061,398448,3945967
SML07-213-HM GHS JANGLIKH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 429 Dt:29/04/2017] , Billno-SML07213032017-001",1,86946,0,11827,75119
SML07-213-HM GHS JANGLIKH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 430 Dt:29/04/2017] , Billno-SML07213032017-002",1,88849,20000,3065,65784
SML07-213-HM GHS JANGLIKH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 431 Dt:29/04/2017] , Billno-SML07213032017-003",1,24396,0,3470,20926
SML07-213-HM GHS JANGLIKH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3746 Dt:31/05/2017] , Billno-SML07213042017-001",1,89936,0,11876,78060
SML07-213-HM GHS JANGLIKH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3953 Dt:31/05/2017] , Billno-SML072132017100001",1,4368,0,438,3930
SML07-213-HM GHS JANGLIKH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3747 Dt:31/05/2017] , Billno-SML07213042017-002",1,89970,20000,3065,66905
SML07-213-HM GHS JANGLIKH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3748 Dt:31/05/2017] , Billno-SML07213042017-003",1,24705,0,3501,21204
SML07-213-HM GHS JANGLIKH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3952 Dt:31/05/2017] , Billno-SML072132017100003",1,2736,0,274,2462
SML07-213-HM GHS JANGLIKH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3954 Dt:31/05/2017] , Billno-SML072132017100002",1,9459,8415,0,1044
