DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML08-210-HM GHS JAHU,Total, ,149,6723450,633495,257559,5832396
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 524 Dt:29/04/2017] , Billno-SML08210032017-001",1,54000,17000,1530,35470
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 525 Dt:29/04/2017] , Billno-SML08210032017-002",1,65698,0,0,65698
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 526 Dt:29/04/2017] , Billno-SML08210032017-003",1,21387,0,2006,19381
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 527 Dt:29/04/2017] , Billno-SML08210032017-004",1,15184,0,5,15179
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 528 Dt:29/04/2017] , Billno-SML08210032017-005",1,66120,12500,30,53590
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1474 Dt:31/05/2017] , Billno-SML08210042017-001",1,54683,17000,1530,36153
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1475 Dt:31/05/2017] , Billno-SML08210042017-002",1,69098,0,0,69098
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1476 Dt:31/05/2017] , Billno-SML08210042017-003",1,21650,0,2032,19618
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1477 Dt:31/05/2017] , Billno-SML08210042017-004",1,15510,0,2610,12900
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1478 Dt:31/05/2017] , Billno-SML08210042017-005",1,66960,12500,3060,51400
SML08-210-HM GHS JAHU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 513 Dt:30/06/2017] , Billno-SML082102017100005",1,400000,0,0,400000
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1373 Dt:30/06/2017] , Billno-SML08210052017-001",1,54683,17000,1530,36153
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1374 Dt:30/06/2017] , Billno-SML08210052017-002",1,69098,0,0,69098
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1375 Dt:30/06/2017] , Billno-SML08210052017-003",1,15510,0,5,15505
SML08-210-HM GHS JAHU,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1426 Dt:30/06/2017] , Billno-SML082102017100006",1,21000,0,0,21000
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1376 Dt:30/06/2017] , Billno-SML08210052017-004",1,21650,0,2032,19618
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1377 Dt:30/06/2017] , Billno-SML08210052017-005",1,15510,0,2610,12900
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1378 Dt:30/06/2017] , Billno-SML08210052017-006",1,66960,12500,3060,51400
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 561 Dt:31/07/2017] , Billno-SML08210062017-001",1,54683,17000,1530,36153
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 562 Dt:31/07/2017] , Billno-SML08210062017-002",1,84203,0,9,84194
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 563 Dt:31/07/2017] , Billno-SML08210062017-003",1,15510,0,5,15505
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 622 Dt:31/07/2017] , Billno-SML082102017100007",1,6127,6127,0,0
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 635 Dt:31/07/2017] , Billno-SML082102017100014",1,2360,0,0,2360
SML08-210-HM GHS JAHU,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 649 Dt:31/07/2017] , Billno-SML082102017100011",1,13650,0,0,13650
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 564 Dt:31/07/2017] , Billno-SML08210062017-004",1,22284,0,2094,20190
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 565 Dt:31/07/2017] , Billno-SML08210062017-005",1,15510,0,3844,11666
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 566 Dt:31/07/2017] , Billno-SML08210062017-006",1,66960,12500,3060,51400
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 623 Dt:31/07/2017] , Billno-SML082102017100008",1,2367,0,234,2133
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 624 Dt:31/07/2017] , Billno-SML082102017100009",1,1056,0,108,948
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 625 Dt:31/07/2017] , Billno-SML082102017100010",1,7560,7560,0,0
SML08-210-HM GHS JAHU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 18 Dt:05/08/2017] , Billno-SML082102017100021",1,165000,0,0,165000
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 731 Dt:05/08/2017] , Billno-SML08210072017-001",1,54683,17000,1530,36153
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 732 Dt:05/08/2017] , Billno-SML08210072017-002",1,84203,0,9,84194
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 733 Dt:05/08/2017] , Billno-SML08210072017-003",1,15560,0,5,15555
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 769 Dt:05/08/2017] , Billno-SML082102017100018",1,1037,0,0,1037
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 770 Dt:05/08/2017] , Billno-SML082102017100019",1,100,0,0,100
SML08-210-HM GHS JAHU,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 768 Dt:05/08/2017] , Billno-SML082102017100022",1,13650,0,0,13650
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 734 Dt:05/08/2017] , Billno-SML08210072017-004",1,22284,0,2094,20190
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 735 Dt:05/08/2017] , Billno-SML08210072017-005",1,15560,0,3844,11716
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 736 Dt:05/08/2017] , Billno-SML08210072017-006",1,66960,12500,3060,51400
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 765 Dt:05/08/2017] , Billno-SML082102017100015",1,332,0,0,332
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 766 Dt:05/08/2017] , Billno-SML082102017100016",1,3360,3360,0,0
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 767 Dt:05/08/2017] , Billno-SML082102017100017",1,1050,0,108,942
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 771 Dt:05/08/2017] , Billno-SML082102017100020",1,300,0,0,300
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 764 Dt:05/08/2017] , Billno-SML082102017100012",1,3054,0,0,3054
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1259 Dt:05/09/2017] , Billno-SML08210082017-001",1,57293,17000,1530,38763
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1260 Dt:05/09/2017] , Billno-SML08210082017-002",1,84793,0,9,84784
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1261 Dt:05/09/2017] , Billno-SML08210082017-003",1,15888,0,5,15883
SML08-210-HM GHS JAHU,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1293 Dt:05/09/2017] , Billno-SML082102017100023",1,13650,0,0,13650
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1262 Dt:05/09/2017] , Billno-SML08210082017-004",1,22726,0,2094,20632
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1263 Dt:05/09/2017] , Billno-SML08210082017-005",1,15888,0,3844,12044
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1264 Dt:05/09/2017] , Billno-SML08210082017-006",1,68080,12500,3060,52520
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2580 Dt:31/10/2017] , Billno-SML082102017100025",1,7316,7316,0,0
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2581 Dt:31/10/2017] , Billno-SML082102017100026",1,1009,0,0,1009
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 650 Dt:06/10/2017] , Billno-SML08210092017-001",1,58232,17000,1530,39702
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 651 Dt:06/10/2017] , Billno-SML08210092017-002",1,85333,0,9,85324
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 652 Dt:06/10/2017] , Billno-SML08210092017-003",1,16136,0,1141,14995
SML08-210-HM GHS JAHU,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2566 Dt:31/10/2017] , Billno-SML082102017100024",1,2168,0,0,2168
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2582 Dt:31/10/2017] , Billno-SML082102017100029",1,8960,8960,0,0
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2619 Dt:31/10/2017] , Billno-SML082102017100027",1,2841,0,283,2558
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2620 Dt:31/10/2017] , Billno-SML082102017100028",1,1984,0,200,1784
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 653 Dt:06/10/2017] , Billno-SML08210092017-004",1,23088,0,2130,20958
SML08-210-HM GHS JAHU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 654 Dt:06/10/2017] , Billno-SML08210092017-005",1,16136,0,3869,12267
