DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML09-221-PRINCIPAL GSSS KUDDU,Total, ,129,14166543,3245374,1253233,9667936
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1124 Dt:29/04/2017] , Billno-SML09221032017-001",1,58270,30000,30,28240
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1125 Dt:29/04/2017] , Billno-SML09221032017-002",1,112869,0,7988,104881
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1130 Dt:29/04/2017] , Billno-SML092212017100002",1,74192,0,8268,65924
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1126 Dt:29/04/2017] , Billno-SML09221032017-003",1,75403,55000,60,20343
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1127 Dt:29/04/2017] , Billno-SML09221032017-004",1,271973,132500,7401,132072
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1128 Dt:29/04/2017] , Billno-SML09221032017-005",1,157901,0,20644,137257
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1654 Dt:31/05/2017] , Billno-SML09221042017-001",1,206262,0,23935,182327
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1711 Dt:31/05/2017] , Billno-SML092212017100003",1,16102,0,1610,14492
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1655 Dt:31/05/2017] , Billno-SML09221042017-002",1,76365,55000,5060,16305
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1656 Dt:31/05/2017] , Billno-SML09221042017-003",1,275427,144500,14001,116926
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1657 Dt:31/05/2017] , Billno-SML09221042017-004",1,159912,0,22847,137065
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1712 Dt:31/05/2017] , Billno-SML092212017100004",1,8490,8490,0,0
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1713 Dt:31/05/2017] , Billno-SML092212017100005",1,30513,30513,0,0
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1714 Dt:31/05/2017] , Billno-SML092212017100006",1,17349,0,1734,15615
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1819 Dt:31/05/2017] , Billno-SML092212017100010",1,9340,0,0,9340
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1820 Dt:31/05/2017] , Billno-SML092212017100011",1,3675,0,0,3675
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1821 Dt:31/05/2017] , Billno-SML092212017100012",1,4799,0,0,4799
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1822 Dt:31/05/2017] , Billno-SML092212017100013",1,1908,0,0,1908
SML09-221-PRINCIPAL GSSS KUDDU,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 346 Dt:31/05/2017] , Billno-SML092212017100007",1,1862,0,0,1862
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2359 Dt:30/06/2017] , Billno-SML09221052017-001",1,206262,0,23935,182327
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2360 Dt:30/06/2017] , Billno-SML09221052017-002",1,76365,55000,5060,16305
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2361 Dt:30/06/2017] , Billno-SML09221052017-003",1,275427,144500,14001,116926
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2362 Dt:30/06/2017] , Billno-SML09221052017-004",1,159912,0,22847,137065
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 2411 Dt:30/06/2017] , Billno-SML092212017100014",1,2000,0,0,2000
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1611 Dt:31/07/2017] , Billno-SML09221062017-001",1,221032,0,23944,197088
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1612 Dt:31/07/2017] , Billno-SML09221062017-002",1,76365,55000,5060,16305
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1613 Dt:31/07/2017] , Billno-SML09221062017-005",1,275427,144500,14001,116926
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1614 Dt:31/07/2017] , Billno-SML09221062017-004",1,159942,0,22847,137095
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 525 Dt:05/08/2017] , Billno-SML09221072017-001",1,221549,0,23994,197555
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 2073 Dt:31/08/2017] , Billno-SML092212017100016",1,5056,0,0,5056
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 2074 Dt:31/08/2017] , Billno-SML092212017100017",1,8665,0,0,8665
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 548 Dt:05/08/2017] , Billno-SML092212017100015",1,22793,0,0,22793
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 526 Dt:05/08/2017] , Billno-SML09221072017-002",1,76365,55000,5060,16305
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 527 Dt:05/08/2017] , Billno-SML09221072017-003",1,215316,115000,6422,93894
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 528 Dt:05/08/2017] , Billno-SML09221072017-004",1,160459,0,22897,137562
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 560 Dt:05/09/2017] , Billno-SML09221082017-001",1,224692,0,23994,200698
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 561 Dt:05/09/2017] , Billno-SML09221082017-002",1,77647,55000,5060,17587
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 562 Dt:05/09/2017] , Billno-SML09221082017-003",1,218968,115000,6422,97546
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 563 Dt:05/09/2017] , Billno-SML09221082017-004",1,163147,0,22897,140250
SML09-221-PRINCIPAL GSSS KUDDU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 692 Dt:31/10/2017] , Billno-SML092212017100018",1,200000,0,0,200000
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1378 Dt:06/10/2017] , Billno-SML09221092017-001",1,227837,0,24254,203583
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3578 Dt:31/10/2017] , Billno-SML092212017100019",1,23400,0,0,23400
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1379 Dt:06/10/2017] , Billno-SML09221092017-002",1,224247,123000,6422,94825
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1380 Dt:06/10/2017] , Billno-SML09221092017-003",1,165838,0,23167,142671
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3560 Dt:31/10/2017] , Billno-SML092212017100020",1,4800,0,0,4800
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1440 Dt:06/11/2017] , Billno-SML09221102017-001",1,10710,0,0,10710
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1441 Dt:06/11/2017] , Billno-SML09221102017-002",1,227837,0,24254,203583
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1449 Dt:06/11/2017] , Billno-SML092212017100021",1,22406,0,2082,20324
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1450 Dt:06/11/2017] , Billno-SML092212017100024",1,7020,0,0,7020
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1442 Dt:06/11/2017] , Billno-SML09221102017-003",1,81298,40000,5060,36238
SML09-221-PRINCIPAL GSSS KUDDU,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1443 Dt:06/11/2017] , Billno-SML09221102017-004",1,264223,123000,11088,130135
