DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,Total, ,459,42364743,5134244,887634,36342865
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 87 Dt:29/04/2017] , Billno-SML100101748443002",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 88 Dt:29/04/2017] , Billno-SML100101748443003",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 89 Dt:29/04/2017] , Billno-SML100101748443004",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 90 Dt:29/04/2017] , Billno-SML100101748443005",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 91 Dt:29/04/2017] , Billno-SML100101748443006",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 92 Dt:29/04/2017] , Billno-SML100101748443007",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 93 Dt:29/04/2017] , Billno-SML100101748443008",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8443-00-104-00-S00N-V-N-25-REFUNDS,"[TRVch# 94 Dt:29/04/2017] , Billno-SML100101748443009",1,4000,0,0,4000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,03-2014-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 214 Dt:29/04/2017] , Billno-SML10010032017-001",1,104506,20000,120,84386
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,03-2014-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 215 Dt:29/04/2017] , Billno-SML10010032017-003",1,200493,0,18506,181987
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,03-2014-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 227 Dt:29/04/2017] , Billno-SML10010032017-002",1,485797,196500,4371,284926
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,03-2014-00-105-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 229 Dt:29/04/2017] , Billno-SML100102017000002",1,14496,0,0,14496
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,03-2014-00-108-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 228 Dt:29/04/2017] , Billno-SML100102017000001",1,30000,0,0,30000
SML10-010-CIVIL JUDGE (JR DIVISION) KINNAUR AT RAMPUR,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 768 Dt:31/05/2017] , Billno-SML100102017000007",1,40000,0,0,40000
