DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,Total, ,762,55926940,9744930,2158325,44023685
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-01-S00N-V-N-01-SALARIES,"[TRVch# 42 Dt:29/04/2017] , Billno-SML10025032017-001",1,41857,20000,1418,20439
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-01-S00N-V-N-01-SALARIES,"[TRVch# 43 Dt:29/04/2017] , Billno-SML10025032017-002",1,61817,0,7259,54558
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 44 Dt:29/04/2017] , Billno-SML10025032017-003",1,202719,10000,16747,175972
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 45 Dt:29/04/2017] , Billno-SML10025032017-004",1,651037,273900,7252,369885
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 46 Dt:29/04/2017] , Billno-SML10025032017-005",1,86034,0,8804,77230
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 47 Dt:29/04/2017] , Billno-SML10025032017-006",1,33577,0,2569,31008
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 48 Dt:29/04/2017] , Billno-SML10025032017-007",1,23522,0,3346,20176
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-05-S00N-V-N-01-SALARIES,"[TRVch# 49 Dt:29/04/2017] , Billno-SML10025032017-008",1,28300,12000,121,16179
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-11-S00N-V-N-01-SALARIES,"[TRVch# 50 Dt:29/04/2017] , Billno-SML10025032017-009",1,179618,55000,6420,118198
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-11-S00N-V-N-01-SALARIES,"[TRVch# 51 Dt:29/04/2017] , Billno-SML10025032017-010",1,62632,0,8107,54525
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 52 Dt:29/04/2017] , Billno-SML10025032017-011",1,100103,40000,13319,46784
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 53 Dt:29/04/2017] , Billno-SML10025032017-012",1,136280,30000,10846,95434
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-19-S00N-V-N-01-SALARIES,"[TRVch# 54 Dt:29/04/2017] , Billno-SML10025032017-013",1,9510,0,0,9510
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 750 Dt:31/05/2017] , Billno-SML100252017100001",1,200000,0,0,200000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 751 Dt:31/05/2017] , Billno-SML100252017100002",1,150000,0,0,150000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 752 Dt:31/05/2017] , Billno-SML100252017100003",1,100000,0,0,100000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 753 Dt:31/05/2017] , Billno-SML100252017100004",1,120000,0,0,120000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 754 Dt:31/05/2017] , Billno-SML100252017100005",1,350000,0,0,350000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 755 Dt:31/05/2017] , Billno-SML100252017100006",1,400000,0,0,400000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 790 Dt:31/05/2017] , Billno-SML100252017100029",1,160000,0,0,160000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 791 Dt:31/05/2017] , Billno-SML100252017100028",1,350000,0,0,350000
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-01-S00N-V-N-01-SALARIES,"[TRVch# 101 Dt:31/05/2017] , Billno-SML100252017100031",1,4788,4788,0,0
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-01-S00N-V-N-01-SALARIES,"[TRVch# 103 Dt:31/05/2017] , Billno-SML100252017100032",1,6975,0,702,6273
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-01-S00N-V-N-01-SALARIES,"[TRVch# 66 Dt:31/05/2017] , Billno-SML10025042017-001",1,42389,20000,1418,20971
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-01-S00N-V-N-01-SALARIES,"[TRVch# 67 Dt:31/05/2017] , Billno-SML10025042017-002",1,71827,0,7337,64490
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-01-S00N-V-N-01-SALARIES,"[TRVch# 97 Dt:31/05/2017] , Billno-SML100252017100046",1,6216,0,0,6216
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 106 Dt:31/05/2017] , Billno-SML100252017100037",1,9595,0,958,8637
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 107 Dt:31/05/2017] , Billno-SML100252017100040",1,6267,6267,0,0
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 108 Dt:31/05/2017] , Billno-SML100252017100041",1,64326,62568,0,1758
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 109 Dt:31/05/2017] , Billno-SML100252017100026",1,22230,0,2223,20007
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 110 Dt:31/05/2017] , Billno-SML100252017100025",1,11412,11412,0,0
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 111 Dt:31/05/2017] , Billno-SML100252017100044",1,2745,0,279,2466
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 112 Dt:31/05/2017] , Billno-SML100252017100045",1,2601,0,264,2337
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 68 Dt:31/05/2017] , Billno-SML10025042017-003",1,207375,10000,21918,175457
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 69 Dt:31/05/2017] , Billno-SML10025042017-004",1,622599,277900,7090,337609
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 70 Dt:31/05/2017] , Billno-SML10025042017-005",1,87109,0,8910,78199
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 71 Dt:31/05/2017] , Billno-SML10025042017-006",1,34482,0,2599,31883
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-01-SALARIES,"[TRVch# 72 Dt:31/05/2017] , Billno-SML10025042017-007",1,23817,0,3376,20441
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-02-WAGES,"[TRVch# 79 Dt:31/05/2017] , Billno-SML100252017100007",1,27345,0,0,27345
SML10-025-SUBJECT MATTER SPECIALIST HORTICULTURE RAMPUR,12-2401-00-119-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 114 Dt:31/05/2017] , Billno-SML100252017100051",1,9300,0,0,9300
