DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML11-209-GSSS KHANETI SADHOCH,Total, ,151,29168775,5586727,1239384,22342664
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 641 Dt:29/04/2017] , Billno-SML112092017100001",1,600000,0,0,600000
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 642 Dt:29/04/2017] , Billno-SML112092017100002",1,350000,0,0,350000
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 643 Dt:29/04/2017] , Billno-SML112092017100003",1,40000,0,0,40000
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 590 Dt:29/04/2017] , Billno-SML11209032017-001",1,334812,64000,90,270722
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 591 Dt:29/04/2017] , Billno-SML11209032017-002",1,156805,0,13738,143067
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 592 Dt:29/04/2017] , Billno-SML11209032017-003",1,83034,37000,120,45914
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 593 Dt:29/04/2017] , Billno-SML11209032017-004",1,438653,119018,8448,311187
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 594 Dt:29/04/2017] , Billno-SML11209032017-005",1,109661,0,9577,100084
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 585 Dt:31/05/2017] , Billno-SML112092017100004",1,40000,0,0,40000
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 586 Dt:31/05/2017] , Billno-SML112092017100005",1,450000,0,0,450000
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1100 Dt:31/05/2017] , Billno-SML11209042017-001",1,344834,64000,8590,272244
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1101 Dt:31/05/2017] , Billno-SML11209042017-002",1,158795,0,16929,141866
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1268 Dt:31/05/2017] , Billno-SML112092017100006",1,21558,21558,0,0
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1269 Dt:31/05/2017] , Billno-SML112092017100007",1,16978,0,1587,15391
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1277 Dt:31/05/2017] , Billno-SML112092017100023",1,28529,0,2887,25642
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1278 Dt:31/05/2017] , Billno-SML112092017100024",1,42648,42648,0,0
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1282 Dt:31/05/2017] , Billno-SML112092017100028",1,1341,0,0,1341
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1283 Dt:31/05/2017] , Billno-SML112092017100029",1,991,0,0,991
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1102 Dt:31/05/2017] , Billno-SML11209042017-003",1,86582,40000,8120,38462
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1103 Dt:31/05/2017] , Billno-SML11209042017-004",1,449391,127018,24633,297740
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1104 Dt:31/05/2017] , Billno-SML11209042017-005",1,111747,0,11196,100551
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1270 Dt:31/05/2017] , Billno-SML112092017100008",1,9513,9513,0,0
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1271 Dt:31/05/2017] , Billno-SML112092017100009",1,39625,35710,396,3519
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1272 Dt:31/05/2017] , Billno-SML112092017100010",1,10629,0,1066,9563
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1273 Dt:31/05/2017] , Billno-SML112092017100019",1,18840,18840,0,0
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1274 Dt:31/05/2017] , Billno-SML112092017100020",1,70393,70393,0,0
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1275 Dt:31/05/2017] , Billno-SML112092017100021",1,20884,0,2090,18794
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1276 Dt:31/05/2017] , Billno-SML112092017100022",1,4350,0,435,3915
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1279 Dt:31/05/2017] , Billno-SML112092017100025",1,704,0,0,704
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1280 Dt:31/05/2017] , Billno-SML112092017100026",1,2929,0,0,2929
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1281 Dt:31/05/2017] , Billno-SML112092017100027",1,789,0,0,789
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 554 Dt:30/06/2017] , Billno-SML112092017100032",1,700000,0,0,700000
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 558 Dt:30/06/2017] , Billno-SML112092017100034",1,200000,0,0,200000
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1504 Dt:30/06/2017] , Billno-SML11209052017-001",1,344834,64000,8590,272244
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1505 Dt:30/06/2017] , Billno-SML11209052017-002",1,158795,0,16929,141866
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1598 Dt:30/06/2017] , Billno-SML112092017100031",1,3220,0,0,3220
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1506 Dt:30/06/2017] , Billno-SML11209052017-003",1,86582,40000,8120,38462
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1507 Dt:30/06/2017] , Billno-SML11209052017-004",1,453409,127018,24634,301757
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1508 Dt:30/06/2017] , Billno-SML11209052017-005",1,136831,0,13612,123219
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1597 Dt:30/06/2017] , Billno-SML112092017100030",1,6452,0,0,6452
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1056 Dt:31/07/2017] , Billno-SML11209062017-001",1,326566,64000,8590,253976
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1057 Dt:31/07/2017] , Billno-SML11209062017-002",1,191464,0,17087,174377
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1058 Dt:31/07/2017] , Billno-SML11209062017-003",1,86582,40000,8120,38462
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1059 Dt:31/07/2017] , Billno-SML11209062017-004",1,520425,182000,24013,314412
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1060 Dt:31/07/2017] , Billno-SML11209062017-005",1,172043,0,13687,158356
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1584 Dt:05/08/2017] , Billno-SML11209072017-001",1,328094,64000,8590,255504
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1585 Dt:05/08/2017] , Billno-SML11209072017-002",1,193688,0,17087,176601
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1586 Dt:05/08/2017] , Billno-SML11209072017-003",1,86582,40000,8120,38462
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1587 Dt:05/08/2017] , Billno-SML11209072017-004",1,520425,182000,24013,314412
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1595 Dt:05/08/2017] , Billno-SML11209072017-005",1,173523,0,13832,159691
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1958 Dt:31/08/2017] , Billno-SML112092017100036",1,1904,0,0,1904
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 498 Dt:29/09/2017] , Billno-SML112092017100044",1,75000,0,0,75000
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 507 Dt:29/09/2017] , Billno-SML112092017100050",1,100000,0,0,100000
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 76 Dt:05/09/2017] , Billno-SML112092017100043",1,90000,0,0,90000
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1601 Dt:05/09/2017] , Billno-SML11209082017-001",1,331398,64000,8590,258808
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1602 Dt:05/09/2017] , Billno-SML11209082017-002",1,163000,0,17078,145922
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1603 Dt:05/09/2017] , Billno-SML11209082017-003",1,88033,40000,8120,39913
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1604 Dt:05/09/2017] , Billno-SML11209082017-004",1,529881,182000,24013,323868
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1605 Dt:05/09/2017] , Billno-SML11209082017-005",1,176137,0,13832,162305
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 599 Dt:31/10/2017] , Billno-SML112092017100051",1,220000,0,0,220000
SML11-209-GSSS KHANETI SADHOCH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 618 Dt:31/10/2017] , Billno-SML112092017100057",1,500000,0,0,500000
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 927 Dt:06/10/2017] , Billno-SML11209092017-001",1,405992,89000,8635,308357
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 928 Dt:06/10/2017] , Billno-SML11209092017-002",1,167283,0,17475,149808
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3245 Dt:31/10/2017] , Billno-SML112092017100054",1,11487,11487,0,0
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3246 Dt:31/10/2017] , Billno-SML112092017100055",1,55349,55349,0,0
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3247 Dt:31/10/2017] , Billno-SML112092017100056",1,18054,0,1609,16445
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 929 Dt:06/10/2017] , Billno-SML11209092017-003",1,89485,40000,8120,41365
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 930 Dt:06/10/2017] , Billno-SML11209092017-004",1,506249,175000,23998,307251
SML11-209-GSSS KHANETI SADHOCH,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 931 Dt:06/10/2017] , Billno-SML11209092017-005",1,195351,0,14036,181315
SML11-209-GSSS KHANETI SADHOCH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 807 Dt:06/11/2017] , Billno-SML11209102017-001",1,405992,89000,8635,308357
