DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML11-210-GSSS MALLAIN,Total, ,176,14702315,2437433,546668,11718214
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 595 Dt:29/04/2017] , Billno-SML11210032017-001",1,157670,56000,75,101595
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 596 Dt:29/04/2017] , Billno-SML11210032017-002",1,68047,9,6561,61477
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 597 Dt:29/04/2017] , Billno-SML11210032017-003",1,78501,45000,1595,31906
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 598 Dt:29/04/2017] , Billno-SML11210032017-004",1,185012,50000,60,134952
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 599 Dt:29/04/2017] , Billno-SML11210032017-005",1,36061,0,2011,34050
SML11-210-GSSS MALLAIN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 582 Dt:31/05/2017] , Billno-SML112102017100006",1,300000,0,0,300000
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1105 Dt:31/05/2017] , Billno-SML11210042017-001",1,159692,56000,6075,97617
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1106 Dt:31/05/2017] , Billno-SML11210042017-002",1,69897,9,7965,61923
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1180 Dt:31/05/2017] , Billno-SML112102017100001",1,17816,17816,0,0
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1181 Dt:31/05/2017] , Billno-SML112102017100003",1,7767,0,783,6984
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1107 Dt:31/05/2017] , Billno-SML11210042017-003",1,79505,50000,6595,22910
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1108 Dt:31/05/2017] , Billno-SML11210042017-004",1,191357,50000,2460,138897
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1109 Dt:31/05/2017] , Billno-SML11210042017-005",1,15220,0,15,15205
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1182 Dt:31/05/2017] , Billno-SML112102017100002",1,9036,9036,0,0
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1183 Dt:31/05/2017] , Billno-SML112102017100004",1,11097,11097,0,0
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1184 Dt:31/05/2017] , Billno-SML112102017100005",1,1038,0,0,1038
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1257 Dt:31/05/2017] , Billno-SML112102017100007",1,5073,0,0,5073
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1509 Dt:30/06/2017] , Billno-SML11210052017-001",1,105700,30000,5045,70655
SML11-210-GSSS MALLAIN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1510 Dt:30/06/2017] , Billno-SML11210052017-002",1,69897,9,7965,61923
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1511 Dt:30/06/2017] , Billno-SML11210052017-003",1,79505,50000,6595,22910
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1512 Dt:30/06/2017] , Billno-SML11210052017-004",1,191357,50000,2460,138897
SML11-210-GSSS MALLAIN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1513 Dt:30/06/2017] , Billno-SML11210052017-005",1,30440,0,20,30420
