DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML12-018-S.P.M. ROHRU,Total, ,104,66258100,0,740,66257360
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:05/05/2018] , Billno-SML120181858658001",1,600000,0,0,600000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 10 Dt:05/06/2018] , Billno-SML120181868658001",1,150000,0,0,150000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 11 Dt:05/04/2018] , Billno-SML120181848658001",1,900000,0,0,900000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:05/05/2018] , Billno-SML120181858658002",1,400000,0,0,400000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 26 Dt:30/12/2017] , Billno-SML1201817B8658001",1,800000,0,0,800000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:06/08/2018] , Billno-SML120181888658001",1,600000,0,0,600000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 30 Dt:31/10/2017] , Billno-SML120181708658001",1,400000,0,0,400000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 31 Dt:31/10/2017] , Billno-SML120181708658002",1,100000,0,0,100000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 34 Dt:30/11/2017] , Billno-SML1201817A8658002",1,200000,0,0,200000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 35 Dt:30/11/2017] , Billno-SML1201817A8658003",1,300000,0,0,300000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 36 Dt:30/11/2017] , Billno-SML1201817A8658004",1,300000,0,0,300000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 39 Dt:30/06/2017] , Billno-SML120181768658001",1,400000,0,0,400000
SML12-018-S.P.M. ROHRU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:06/08/2018] , Billno-SML120181888658002",1,1000000,0,0,1000000
