DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML12-207-PR SSS MELTHI,Total, ,145,14495941,2242677,660297,11592967
SML12-207-PR SSS MELTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 698 Dt:29/04/2017] , Billno-SML122072017100001",1,30000,0,0,30000
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 690 Dt:29/04/2017] , Billno-SML12207032017-001",1,182073,23000,7000,152073
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 691 Dt:29/04/2017] , Billno-SML12207032017-002",1,60577,0,8557,52020
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 791 Dt:29/04/2017] , Billno-SML122072017000001",1,10316,0,0,10316
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 794 Dt:29/04/2017] , Billno-SML122072017100003",1,6563,0,655,5908
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 795 Dt:29/04/2017] , Billno-SML122072017100002",1,14644,10731,394,3519
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 692 Dt:29/04/2017] , Billno-SML12207032017-003",1,80174,0,1150,79024
SML12-207-PR SSS MELTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 693 Dt:29/04/2017] , Billno-SML12207032017-004",1,126770,0,2373,124397
SML12-207-PR SSS MELTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 694 Dt:29/04/2017] , Billno-SML12207032017-005",1,177455,70424,180,106851
SML12-207-PR SSS MELTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 792 Dt:29/04/2017] , Billno-SML122072017100005",1,19857,19857,0,0
SML12-207-PR SSS MELTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 793 Dt:29/04/2017] , Billno-SML122072017100004",1,5730,0,274,5456
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4009 Dt:31/05/2017] , Billno-SML12207042017-001",1,253300,23000,11197,219103
SML12-207-PR SSS MELTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 4010 Dt:31/05/2017] , Billno-SML12207042017-002",1,61342,0,8634,52708
SML12-207-PR SSS MELTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4011 Dt:31/05/2017] , Billno-SML12207042017-003",1,149949,0,2404,147545
SML12-207-PR SSS MELTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 4012 Dt:31/05/2017] , Billno-SML12207042017-004",1,179710,70552,4180,104978
