DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML13-005-S.P.M. JUNGA .,Total, ,32,3950000,0,0,3950000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 10 Dt:06/11/2017] , Billno-SML1300517A8658001",1,70000,0,0,70000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 12 Dt:06/10/2017] , Billno-SML130051708658001",1,125000,0,0,125000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 15 Dt:10/04/2018] , Billno-SML130051848658001",1,150000,0,0,150000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 16 Dt:10/04/2018] , Billno-SML130051848658002",1,70000,0,0,70000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 23 Dt:05/02/2018] , Billno-SML130051728658001",1,100000,0,0,100000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 25 Dt:30/12/2017] , Billno-SML1300517B8658001",1,80000,0,0,80000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 34 Dt:31/07/2017] , Billno-SML130051778658001",1,60000,0,0,60000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 37 Dt:30/06/2017] , Billno-SML130051768658001",1,60000,0,0,60000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 38 Dt:29/09/2017] , Billno-SML130051798658001",1,50000,0,0,50000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 38 Dt:30/06/2017] , Billno-SML130051768658002",1,250000,0,0,250000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 43 Dt:30/11/2017] , Billno-SML1300517A8658002",1,150000,0,0,150000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 43 Dt:31/05/2017] , Billno-SML130051758658001",1,50000,0,0,50000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 44 Dt:30/11/2017] , Billno-SML1300517A8658003",1,50000,0,0,50000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 44 Dt:31/05/2017] , Billno-SML130051758658002",1,110000,0,0,110000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 45 Dt:31/05/2017] , Billno-SML130051758658003",1,80000,0,0,80000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 47 Dt:30/01/2018] , Billno-SML130051718658002",1,100000,0,0,100000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 48 Dt:30/01/2018] , Billno-SML130051718658003",1,140000,0,0,140000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:05/01/2018] , Billno-SML130051718658001",1,330000,0,0,330000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 55 Dt:30/06/2018] , Billno-SML130051868658001",1,100000,0,0,100000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 55 Dt:31/10/2017] , Billno-SML130051708658002",1,200000,0,0,200000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 56 Dt:30/06/2018] , Billno-SML130051868658002",1,150000,0,0,150000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 56 Dt:31/10/2017] , Billno-SML130051708658003",1,80000,0,0,80000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 57 Dt:31/10/2017] , Billno-SML130051708658004",1,95000,0,0,95000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 73 Dt:31/03/2018] , Billno-SML130051738658001",1,200000,0,0,200000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 74 Dt:31/03/2018] , Billno-SML130051738658002",1,100000,0,0,100000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 77 Dt:29/04/2017] , Billno-SML130051748658001",1,100000,0,0,100000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 78 Dt:29/04/2017] , Billno-SML130051748658002",1,100000,0,0,100000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 79 Dt:29/04/2017] , Billno-SML130051748658003",1,200000,0,0,200000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 80 Dt:29/04/2017] , Billno-SML130051748658004",1,100000,0,0,100000
SML13-005-S.P.M. JUNGA .,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 81 Dt:31/08/2018] , Billno-SML130051888658001",1,300000,0,0,300000
