DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SML15-228-PRINCIPAL GSSS BHARAN,Total, ,10,740561,50000,56537,634024
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2316 Dt:31/08/2018] , Billno-SML152282018100005",1,8751,0,0,8751
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 406 Dt:05/06/2018] , Billno-SML15228052018-001",1,116301,0,9741,106560
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 496 Dt:06/08/2018] , Billno-SML15228072018-001",1,133456,0,11264,122192
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 555 Dt:05/07/2018] , Billno-SML15228062018-001",1,116725,0,9771,106954
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 913 Dt:05/05/2018] , Billno-SML15228042018-001",1,134216,0,9741,124475
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2176 Dt:29/05/2018] , Billno-SML152282018100001",1,18720,0,0,18720
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2315 Dt:31/08/2018] , Billno-SML152282018100008",1,37440,0,0,37440
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 2325 Dt:31/08/2018] , Billno-SML152282018100009",1,18720,0,0,18720
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 497 Dt:06/08/2018] , Billno-SML15228072018-002",1,78116,25000,8010,45106
SML15-228-PRINCIPAL GSSS BHARAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 556 Dt:05/07/2018] , Billno-SML15228062018-002",1,78116,25000,8010,45106
