DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR00-540-D.R.D.A. NAHAN,Total, ,48,43703746,422482,27060,43254204
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:05/04/2017] , Billno-SMR00540032017-001",1,45668,24000,2045,19623
SMR00-540-D.R.D.A. NAHAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 46 Dt:03/05/2017] , Billno-SMR005402017100001",1,100000,0,0,100000
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/05/2017] , Billno-SMR00540042017-001",1,46244,24000,2045,20199
SMR00-540-D.R.D.A. NAHAN,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 344 Dt:29/06/2017] , Billno-SMR005402017000003",1,700000,0,0,700000
SMR00-540-D.R.D.A. NAHAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 303 Dt:21/06/2017] , Billno-SMR005402017000002",1,50000,0,0,50000
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/06/2017] , Billno-SMR00540052017-001",1,46244,24000,1405,20839
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/07/2017] , Billno-SMR00540062017-001",1,46244,24000,1405,20839
SMR00-540-D.R.D.A. NAHAN,20-2501-06-800-03-S00N-V-N-20-OTHER CHARGES,"[TRVch# 1 Dt:29/08/2017] , Billno-SMR005402017100004",1,300000,0,0,300000
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/08/2017] , Billno-SMR00540072017-001",1,46244,24000,1405,20839
SMR00-540-D.R.D.A. NAHAN,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 73 Dt:29/08/2017] , Billno-SMR005402017100006",1,730756,0,0,730756
SMR00-540-D.R.D.A. NAHAN,20-2216-03-102-04-S00N-V-P-42-GIA GENERAL (Non-Salary),"[TRVch# 1 Dt:01/09/2017] , Billno-SMR005402017100012",1,1820000,0,0,1820000
SMR00-540-D.R.D.A. NAHAN,20-2216-03-102-05-S00N-V-P-42-GIA GENERAL (Non-Salary),"[TRVch# 4 Dt:01/09/2017] , Billno-SMR005402017100008",1,487500,0,0,487500
SMR00-540-D.R.D.A. NAHAN,20-2216-03-102-06-S00N-V-N-42-GIA GENERAL (Non-Salary),"[TRVch# 5 Dt:01/09/2017] , Billno-SMR005402017100009",1,7540000,0,0,7540000
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/09/2017] , Billno-SMR00540082017-001",1,47012,24000,1405,21607
SMR00-540-D.R.D.A. NAHAN,32-2216-03-789-04-S00N-V-P-42-GIA GENERAL (Non-Salary),"[TRVch# 2 Dt:01/09/2017] , Billno-SMR005402017100011",1,1105000,0,0,1105000
SMR00-540-D.R.D.A. NAHAN,32-2216-03-789-05-S00N-V-P-42-GIA GENERAL (Non-Salary),"[TRVch# 3 Dt:01/09/2017] , Billno-SMR005402017100010",1,312500,0,0,312500
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/10/2017] , Billno-SMR00540092017-001",1,47780,24000,1405,22375
SMR00-540-D.R.D.A. NAHAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 144 Dt:20/11/2017] , Billno-SMR005402017100013",1,270000,0,0,270000
SMR00-540-D.R.D.A. NAHAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 365 Dt:29/11/2017] , Billno-SMR005402017000004",1,28500,0,0,28500
SMR00-540-D.R.D.A. NAHAN,20-2501-06-800-08-S00N-V-N-21-MAINTENANCE,"[TRVch# 1 Dt:29/11/2017] , Billno-SMR005402017100016",1,13260000,0,0,13260000
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/11/2017] , Billno-SMR00540102017-001",1,47780,24000,1405,22375
SMR00-540-D.R.D.A. NAHAN,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 97 Dt:28/11/2017] , Billno-SMR005402017000005",1,571900,0,0,571900
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/12/2017] , Billno-SMR00540112017-001",1,47780,24000,1485,22295
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/01/2018] , Billno-SMR00540122017-001",1,47780,24000,1405,22375
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/02/2018] , Billno-SMR00540012018-001",1,48357,24000,1405,22952
SMR00-540-D.R.D.A. NAHAN,20-2216-03-102-04-S00N-V-P-42-GIA GENERAL (Non-Salary),"[TRVch# 20 Dt:23/03/2018] , Billno-SMR005402017100018",1,1820000,0,0,1820000
SMR00-540-D.R.D.A. NAHAN,20-2216-03-102-05-S00N-V-P-42-GIA GENERAL (Non-Salary),"[TRVch# 22 Dt:23/03/2018] , Billno-SMR005402017100020",1,487500,0,0,487500
SMR00-540-D.R.D.A. NAHAN,20-2216-03-102-06-S00N-V-N-42-GIA GENERAL (Non-Salary),"[TRVch# 17 Dt:22/03/2018] , Billno-SMR005402017100017",1,7540000,0,0,7540000
SMR00-540-D.R.D.A. NAHAN,20-2501-06-800-03-S00N-V-N-20-OTHER CHARGES,"[TRVch# 1 Dt:22/03/2018] , Billno-SMR005402017100021",1,800000,0,0,800000
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:01/03/2018] , Billno-SMR00540022018-001",1,49894,24000,1405,24489
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 95 Dt:28/03/2018] , Billno-SMR005402017100025",1,3462,0,0,3462
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 97 Dt:28/03/2018] , Billno-SMR005402017100027",1,37702,34482,3220,0
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 96 Dt:28/03/2018] , Billno-SMR005402017100024",1,609,0,0,609
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-01-S00N-V-N-20-OTHER CHARGES,"[TRVch# 44 Dt:22/03/2018] , Billno-SMR005402017100022",1,19500,0,0,19500
SMR00-540-D.R.D.A. NAHAN,20-2515-00-102-20-S00N-V-P-42-GIA GENERAL (Non-Salary),"[TRVch# 43 Dt:22/03/2018] , Billno-SMR005402017100023",1,780000,0,0,780000
