DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,Total, ,257,45386620,4041948,659155,40685517
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 3 Dt:07/04/2017] , Billno-SMR01004032017-001",1,182857,75100,1224,106533
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:07/04/2017] , Billno-SMR01004032017-002",1,303460,106950,10728,185782
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:07/04/2017] , Billno-SMR01004032017-003",1,18906,0,2494,16412
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:07/04/2017] , Billno-SMR01004032017-004",1,18906,0,2384,16522
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 16 Dt:29/04/2017] , Billno-SMR010042017100008",1,5202,0,0,5202
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 17 Dt:29/04/2017] , Billno-SMR010042017100009",1,9500,0,0,9500
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 18 Dt:29/04/2017] , Billno-SMR010042017100011",1,5194,0,0,5194
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 21 Dt:29/04/2017] , Billno-SMR010042017100012",1,6841,0,0,6841
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 15 Dt:29/04/2017] , Billno-SMR010042017100007",1,22183,0,0,22183
SMR01-004-ASSTT SOIL CON. OFF RAJGARH,11-2402-00-102-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 19 Dt:29/04/2017] , Billno-SMR010042017100005",1,5441,0,0,5441
