DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR02-214-GSSS CHHACHHETI,Total, ,129,7771702,737382,345559,6688761
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 283 Dt:07/04/2017] , Billno-SMR02214032017-001",1,118670,2000,1427,115243
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 284 Dt:07/04/2017] , Billno-SMR02214032017-002",1,42881,0,10362,32519
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 285 Dt:07/04/2017] , Billno-SMR02214032017-003",1,70020,12000,60,57960
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 286 Dt:07/04/2017] , Billno-SMR02214032017-004",1,34319,0,1652,32667
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 287 Dt:07/04/2017] , Billno-SMR02214032017-005",1,39390,0,6628,32762
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1310 Dt:22/05/2017] , Billno-SMR022142017100001",1,3521,2610,93,818
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1311 Dt:22/05/2017] , Billno-SMR022142017100002",1,4768,0,481,4287
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 415 Dt:09/05/2017] , Billno-SMR02214042017-001",1,123251,2000,1456,119795
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 416 Dt:09/05/2017] , Billno-SMR02214042017-002",1,43426,0,10417,33009
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1312 Dt:22/05/2017] , Billno-SMR022142017100003",1,7922,7922,0,0
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1313 Dt:22/05/2017] , Billno-SMR022142017100004",1,1908,0,192,1716
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1314 Dt:22/05/2017] , Billno-SMR022142017100005",1,4215,0,423,3792
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 417 Dt:09/05/2017] , Billno-SMR02214042017-003",1,70906,16000,4060,50846
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 418 Dt:09/05/2017] , Billno-SMR02214042017-004",1,35435,0,1673,33762
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 419 Dt:09/05/2017] , Billno-SMR02214042017-005",1,39892,0,6679,33213
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 426 Dt:08/06/2017] , Billno-SMR02214052017-001",1,123251,2000,1456,119795
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 427 Dt:08/06/2017] , Billno-SMR02214052017-002",1,43426,0,4207,39219
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1749 Dt:30/06/2017] , Billno-SMR022142017100008",1,27000,0,0,27000
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 561 Dt:08/06/2017] , Billno-SMR022142017100006",1,110880,0,0,110880
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 428 Dt:08/06/2017] , Billno-SMR02214052017-003",1,35435,0,1673,33762
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 429 Dt:08/06/2017] , Billno-SMR02214052017-004",1,39892,0,6679,33213
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 356 Dt:10/07/2017] , Billno-SMR02214062017-001",1,123251,2000,1456,119795
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 357 Dt:10/07/2017] , Billno-SMR02214062017-002",1,43426,0,4207,39219
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 480 Dt:10/07/2017] , Billno-SMR022142017100010",1,23100,0,0,23100
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 481 Dt:10/07/2017] , Billno-SMR022142017100011",1,9000,0,0,9000
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1026 Dt:20/07/2017] , Billno-SMR022142017100012",1,2975,0,0,2975
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 358 Dt:10/07/2017] , Billno-SMR02214062017-003",1,156002,24000,8241,123761
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 359 Dt:10/07/2017] , Billno-SMR02214062017-004",1,39892,0,6679,33213
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 337 Dt:05/08/2017] , Billno-SMR02214072017-002",1,43426,0,4207,39219
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 338 Dt:05/08/2017] , Billno-SMR02214072017-001",1,123656,2000,1456,120200
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 335 Dt:05/08/2017] , Billno-SMR02214072017-004",1,39892,0,6679,33213
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 336 Dt:05/08/2017] , Billno-SMR02214072017-003",1,128282,24000,8232,96050
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 366 Dt:08/09/2017] , Billno-SMR02214082017-001",1,124297,2000,1456,120841
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 367 Dt:08/09/2017] , Billno-SMR02214082017-002",1,44152,0,4207,39945
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 465 Dt:08/09/2017] , Billno-SMR022142017100014",1,27720,0,0,27720
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 464 Dt:08/09/2017] , Billno-SMR022142017100016",1,2700,0,0,2700
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 466 Dt:08/09/2017] , Billno-SMR022142017100015",1,11700,0,0,11700
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 368 Dt:08/09/2017] , Billno-SMR02214082017-004",1,40561,0,6679,33882
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 369 Dt:08/09/2017] , Billno-SMR02214082017-003",1,130428,24000,8232,98196
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1852 Dt:30/10/2017] , Billno-SMR022142017100023",1,5808,0,584,5224
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1853 Dt:30/10/2017] , Billno-SMR022142017100024",1,5128,3144,200,1784
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 427 Dt:20/10/2017] , Billno-SMR02214092017-001",1,124938,3000,1481,120457
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 428 Dt:20/10/2017] , Billno-SMR02214092017-002",1,44878,0,4279,40599
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 542 Dt:20/10/2017] , Billno-SMR022142017100020",1,11700,0,0,11700
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1854 Dt:30/10/2017] , Billno-SMR022142017100022",1,17168,14864,232,2072
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1855 Dt:30/10/2017] , Billno-SMR022142017100021",1,5352,0,536,4816
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 429 Dt:20/10/2017] , Billno-SMR02214092017-003",1,132574,26000,8261,98313
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 430 Dt:20/10/2017] , Billno-SMR02214092017-004",1,41230,0,6746,34484
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 306 Dt:03/11/2017] , Billno-SMR02214102017-001",1,124938,3000,1481,120457
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 307 Dt:03/11/2017] , Billno-SMR02214102017-002",1,46215,0,4408,41807
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 308 Dt:03/11/2017] , Billno-SMR02214102017-003",1,132574,26000,8261,98313
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 309 Dt:03/11/2017] , Billno-SMR02214102017-004",1,41230,0,6746,34484
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1120 Dt:21/11/2017] , Billno-SMR022142017100017",1,256,0,0,256
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1514 Dt:30/11/2017] , Billno-SMR022142017100027",1,4778,0,0,4778
SMR02-214-GSSS CHHACHHETI,32-2202-01-789-11-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 437 Dt:03/11/2017] , Billno-SMR022142017100026",1,68288,0,0,68288
SMR02-214-GSSS CHHACHHETI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 285 Dt:30/12/2017] , Billno-SMR022142017100030",1,30000,0,0,30000
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1410 Dt:30/12/2017] , Billno-SMR022142017100031",1,10478,0,9,10469
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1517 Dt:30/12/2017] , Billno-SMR022142017100032",1,10710,0,0,10710
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1518 Dt:30/12/2017] , Billno-SMR022142017100033",1,16600,0,0,16600
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 364 Dt:08/12/2017] , Billno-SMR02214112017-001",1,141640,3000,2094,136546
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 365 Dt:08/12/2017] , Billno-SMR02214112017-002",1,46215,0,4488,41727
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 366 Dt:08/12/2017] , Billno-SMR02214112017-003",1,133448,26000,8501,98947
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 367 Dt:08/12/2017] , Billno-SMR02214112017-004",1,41230,0,6826,34404
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1408 Dt:30/12/2017] , Billno-SMR022142017100018",1,9500,0,0,9500
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 1409 Dt:30/12/2017] , Billno-SMR022142017100028",1,3811,0,0,3811
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 351 Dt:05/01/2018] , Billno-SMR02214122017-001",1,158779,3000,1534,154245
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 354 Dt:05/01/2018] , Billno-SMR02214122017-002",1,46215,0,4408,41807
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 447 Dt:05/01/2018] , Billno-SMR022142017100034",1,56160,0,0,56160
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 352 Dt:05/01/2018] , Billno-SMR02214122017-003",1,133448,26000,8261,99187
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 353 Dt:05/01/2018] , Billno-SMR02214122017-004",1,42469,0,6865,35604
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1876 Dt:28/02/2018] , Billno-SMR022142017100036",1,3321,0,333,2988
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1877 Dt:28/02/2018] , Billno-SMR022142017100035",1,3709,1773,114,1822
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1881 Dt:28/02/2018] , Billno-SMR022142017100042",1,2812,0,0,2812
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 333 Dt:09/02/2018] , Billno-SMR02214012018-001",1,161056,4000,1553,155503
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 334 Dt:09/02/2018] , Billno-SMR02214012018-002",1,46777,0,4464,42313
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1882 Dt:28/02/2018] , Billno-SMR022142017100043",1,375021,0,0,375021
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1878 Dt:28/02/2018] , Billno-SMR022142017100037",1,9688,8386,132,1170
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1879 Dt:28/02/2018] , Billno-SMR022142017100038",1,3022,0,302,2720
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1880 Dt:28/02/2018] , Billno-SMR022142017100041",1,53207,0,5276,47931
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 335 Dt:09/02/2018] , Billno-SMR02214012018-003",1,138170,30000,8335,99835
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 336 Dt:09/02/2018] , Billno-SMR02214012018-004",1,42986,0,6917,36069
SMR02-214-GSSS CHHACHHETI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 206 Dt:23/03/2018] , Billno-SMR022142017100051",1,100000,0,0,100000
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3738 Dt:31/03/2018] , Billno-SMR022142017100047",1,35408,35408,0,0
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 456 Dt:07/03/2018] , Billno-SMR02214022018-001",1,165134,4000,1553,159581
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 457 Dt:07/03/2018] , Billno-SMR02214022018-002",1,48274,13000,30,35244
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3514 Dt:31/03/2018] , Billno-SMR022142017100054",1,501,0,0,501
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3681 Dt:31/03/2018] , Billno-SMR022142017100053",1,11411,0,0,11411
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3741 Dt:31/03/2018] , Billno-SMR022142017100058",1,822,0,0,822
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3843 Dt:31/03/2018] , Billno-SMR022142017100057",1,17115,0,0,17115
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 604 Dt:07/03/2018] , Billno-SMR022142017100044",1,34966,0,0,34966
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3515 Dt:31/03/2018] , Billno-SMR022142017100045",1,14040,0,0,14040
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3739 Dt:31/03/2018] , Billno-SMR022142017100048",1,122263,107266,0,14997
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 3740 Dt:31/03/2018] , Billno-SMR022142017100049",1,31864,0,0,31864
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 458 Dt:07/03/2018] , Billno-SMR02214022018-003",1,143608,30000,7190,106418
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 459 Dt:07/03/2018] , Billno-SMR02214022018-004",1,44364,0,9411,34953
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 3737 Dt:31/03/2018] , Billno-SMR022142017100059",1,5480,0,0,5480
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 3742 Dt:31/03/2018] , Billno-SMR022142017100055",1,16000,0,0,16000
SMR02-214-GSSS CHHACHHETI,32-2202-01-789-11-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 3842 Dt:31/03/2018] , Billno-SMR022142017100056",1,17851,0,0,17851
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 299 Dt:10/04/2018] , Billno-SMR02214032018-001",1,153894,9,1538,152347
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 301 Dt:10/04/2018] , Billno-SMR02214032018-002",1,48274,13000,30,35244
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 302 Dt:10/04/2018] , Billno-SMR02214032018-003",1,171236,34000,2445,134791
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 303 Dt:10/04/2018] , Billno-SMR02214032018-004",1,44364,0,6917,37447
SMR02-214-GSSS CHHACHHETI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 37 Dt:29/05/2018] , Billno-SMR022142018100005",1,5188,0,0,5188
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1141 Dt:22/05/2018] , Billno-SMR022142018100004",1,3513,0,5,3508
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 371 Dt:05/05/2018] , Billno-SMR02214042018-001",1,158094,0,1574,156520
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 372 Dt:05/05/2018] , Billno-SMR02214042018-002",1,48324,13000,530,34794
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 473 Dt:05/05/2018] , Billno-SMR022142018100001",1,11327,0,0,11327
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 474 Dt:05/05/2018] , Billno-SMR022142018100002",1,18019,0,0,18019
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 475 Dt:05/05/2018] , Billno-SMR022142018100003",1,34966,0,0,34966
SMR02-214-GSSS CHHACHHETI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1384 Dt:29/05/2018] , Billno-SMR022142018100006",1,42120,0,0,42120
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 373 Dt:05/05/2018] , Billno-SMR02214042018-003",1,171236,37000,9945,124291
SMR02-214-GSSS CHHACHHETI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 374 Dt:05/05/2018] , Billno-SMR02214042018-004",1,44364,0,7517,36847
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 388 Dt:05/06/2018] , Billno-SMR02214052018-001",1,140179,0,1574,138605
SMR02-214-GSSS CHHACHHETI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 389 Dt:05/06/2018] , Billno-SMR02214052018-002",1,48324,13000,530,34794
