DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,Total, ,20,1404171,0,1876,1402295
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1433 Dt:29/05/2018] , Billno-SMR032192018100001",1,92780,0,75,92705
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1542 Dt:30/12/2017] , Billno-SMR032192017100003",1,16106,0,5,16101
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1543 Dt:30/12/2017] , Billno-SMR032192017100002",1,16186,0,5,16181
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1544 Dt:30/12/2017] , Billno-SMR032192017100001",1,6616,0,0,6616
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2049 Dt:23/03/2018] , Billno-SMR032192017100008",1,14085,0,15,14070
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2050 Dt:23/03/2018] , Billno-SMR032192017100007",1,496,0,0,496
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2051 Dt:23/03/2018] , Billno-SMR032192017100006",1,186,0,0,186
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2052 Dt:23/03/2018] , Billno-SMR032192017100005",1,6483,0,0,6483
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2053 Dt:23/03/2018] , Billno-SMR032192017100004",1,2046,0,0,2046
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 453 Dt:10/04/2018] , Billno-SMR03219032018-001",1,92293,0,55,92238
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 545 Dt:05/01/2018] , Billno-SMR03219122017-001",1,41615,0,10,41605
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 555 Dt:08/12/2017] , Billno-SMR03219112017-001",1,41615,0,250,41365
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 558 Dt:07/07/2018] , Billno-SMR03219062018-001",1,93744,0,683,93061
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 562 Dt:09/02/2018] , Billno-SMR03219012018-001",1,41987,0,10,41977
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 582 Dt:09/08/2018] , Billno-SMR03219072018-001",1,93744,0,683,93061
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 585 Dt:05/06/2018] , Billno-SMR03219052018-001",1,92780,0,75,92705
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 687 Dt:07/03/2018] , Billno-SMR03219022018-001",1,42979,0,10,42969
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1434 Dt:29/05/2018] , Billno-SMR032192018100002",1,1197,0,0,1197
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 3986 Dt:31/03/2018] , Billno-SMR032192017100010",1,329869,0,0,329869
SMR03-219-PR GOVT DEGREE COLLEGE RONHAT,08-2202-03-103-01-S00N-V-P-33-MATERIAL AND SUPPLY,"[TRVch# 3987 Dt:31/03/2018] , Billno-SMR032192017100009",1,377364,0,0,377364
