DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR03-659-E.E.P.W.D.SHILLAI,Total, ,1004,324036462,64408716,8828698,250799048
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 231 Dt:20/04/2017] , Billno-SMR036592017100007",1,1126783,0,0,1126783
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 232 Dt:20/04/2017] , Billno-SMR036592017100001",1,100000,0,0,100000
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 233 Dt:20/04/2017] , Billno-SMR036592017100002",1,200000,0,0,200000
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 234 Dt:20/04/2017] , Billno-SMR036592017100006",1,150000,0,0,150000
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 572 Dt:29/04/2017] , Billno-SMR036592017100008",1,100000,0,0,100000
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 573 Dt:29/04/2017] , Billno-SMR036592017100010",1,150000,0,0,150000
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 574 Dt:29/04/2017] , Billno-SMR036592017100012",1,80000,0,0,80000
SMR03-659-E.E.P.W.D.SHILLAI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 575 Dt:29/04/2017] , Billno-SMR036592017100013",1,150000,0,0,150000
SMR03-659-E.E.P.W.D.SHILLAI,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:07/04/2017] , Billno-SMR03659032017-001",1,186697,80000,6794,99903
SMR03-659-E.E.P.W.D.SHILLAI,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:07/04/2017] , Billno-SMR03659032017-002",1,757202,195507,9799,551896
SMR03-659-E.E.P.W.D.SHILLAI,10-2059-80-053-03-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:07/04/2017] , Billno-SMR03659032017-003",1,200225,0,33775,166450
SMR03-659-E.E.P.W.D.SHILLAI,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:07/04/2017] , Billno-SMR03659032017-004",1,392488,121000,8448,263040
SMR03-659-E.E.P.W.D.SHILLAI,10-2059-80-053-05-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:07/04/2017] , Billno-SMR03659032017-005",1,123089,0,12728,110361
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 41 Dt:07/04/2017] , Billno-SMR03659032017-006",1,75093,20000,1318,53775
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 42 Dt:07/04/2017] , Billno-SMR03659032017-007",1,639118,184514,21194,433410
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-03-103-10-S00N-V-N-01-SALARIES,"[TRVch# 43 Dt:07/04/2017] , Billno-SMR03659032017-008",1,127671,0,21723,105948
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-03-103-12-S00N-V-N-01-SALARIES,"[TRVch# 44 Dt:07/04/2017] , Billno-SMR03659032017-009",1,1346352,399000,38257,909095
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-03-103-13-S00N-V-N-01-SALARIES,"[TRVch# 45 Dt:07/04/2017] , Billno-SMR03659032017-010",1,1926621,515902,39953,1370766
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-03-103-13-S00N-V-N-01-SALARIES,"[TRVch# 46 Dt:07/04/2017] , Billno-SMR03659032017-011",1,622622,30000,72135,520487
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-03-103-14-S00N-V-N-01-SALARIES,"[TRVch# 47 Dt:07/04/2017] , Billno-SMR03659032017-012",1,2458031,793001,52596,1612434
SMR03-659-E.E.P.W.D.SHILLAI,10-3054-04-105-07-S00N-V-N-01-SALARIES,"[TRVch# 48 Dt:07/04/2017] , Billno-SMR03659032017-013",1,2243346,628501,20129,1594716
