DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR04-210-GSSS TATIYANA,Total, ,124,10284129,1858834,645597,7779698
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 476 Dt:07/04/2017] , Billno-SMR04210032017-001",1,148806,0,6745,142061
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 477 Dt:07/04/2017] , Billno-SMR04210032017-002",1,75128,50000,60,25068
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 478 Dt:07/04/2017] , Billno-SMR04210032017-003",1,225796,42000,3412,180384
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 479 Dt:07/04/2017] , Billno-SMR04210032017-004",1,34893,0,3381,31512
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1193 Dt:22/05/2017] , Billno-SMR042102017100001",1,9016,0,772,8244
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 651 Dt:09/05/2017] , Billno-SMR04210042017-001",1,153508,0,10151,143357
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1194 Dt:22/05/2017] , Billno-SMR042102017100002",1,8538,8538,0,0
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1195 Dt:22/05/2017] , Billno-SMR042102017100003",1,19774,15859,396,3519
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1196 Dt:22/05/2017] , Billno-SMR042102017100004",1,3961,0,394,3567
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 652 Dt:09/05/2017] , Billno-SMR04210042017-002",1,76086,50000,5060,21026
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 653 Dt:09/05/2017] , Billno-SMR04210042017-003",1,231906,45000,13056,173850
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 654 Dt:09/05/2017] , Billno-SMR04210042017-004",1,35336,0,3425,31911
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 761 Dt:08/06/2017] , Billno-SMR04210052017-001",1,153508,0,10161,143347
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 762 Dt:08/06/2017] , Billno-SMR04210052017-002",1,14631,0,15,14616
SMR04-210-GSSS TATIYANA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 811 Dt:08/06/2017] , Billno-SMR042102017100012",1,31500,0,0,31500
SMR04-210-GSSS TATIYANA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 812 Dt:08/06/2017] , Billno-SMR042102017100013",1,82500,0,0,82500
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 763 Dt:08/06/2017] , Billno-SMR04210052017-003",1,76086,50000,5060,21026
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 764 Dt:08/06/2017] , Billno-SMR04210052017-004",1,214055,45000,13056,155999
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 765 Dt:08/06/2017] , Billno-SMR04210052017-005",1,35336,0,3425,31911
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 806 Dt:08/06/2017] , Billno-SMR042102017100005",1,6767,0,0,6767
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 807 Dt:08/06/2017] , Billno-SMR042102017100006",1,1592,0,0,1592
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 808 Dt:08/06/2017] , Billno-SMR042102017100007",1,5640,0,0,5640
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 809 Dt:08/06/2017] , Billno-SMR042102017100008",1,3752,0,0,3752
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 810 Dt:08/06/2017] , Billno-SMR042102017100009",1,2980,0,0,2980
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 661 Dt:10/07/2017] , Billno-SMR04210062017-001",1,153508,0,10161,143347
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 662 Dt:10/07/2017] , Billno-SMR04210062017-002",1,15640,0,15,15625
SMR04-210-GSSS TATIYANA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1126 Dt:20/07/2017] , Billno-SMR042102017100014",1,27000,0,0,27000
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 663 Dt:10/07/2017] , Billno-SMR04210062017-003",1,76086,50000,5060,21026
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 664 Dt:10/07/2017] , Billno-SMR04210062017-004",1,214055,45000,13056,155999
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 665 Dt:10/07/2017] , Billno-SMR04210062017-005",1,35336,0,3425,31911
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1371 Dt:31/08/2017] , Billno-SMR042102017100019",1,4163,0,5,4158
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 565 Dt:05/08/2017] , Billno-SMR04210072017-001",1,153508,0,10161,143347
SMR04-210-GSSS TATIYANA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 566 Dt:05/08/2017] , Billno-SMR04210072017-002",1,31250,0,20,31230
SMR04-210-GSSS TATIYANA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1120 Dt:21/08/2017] , Billno-SMR042102017100020",1,8100,0,0,8100
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 567 Dt:05/08/2017] , Billno-SMR04210072017-003",1,76086,50000,5060,21026
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 568 Dt:05/08/2017] , Billno-SMR04210072017-004",1,214055,45000,13056,155999
SMR04-210-GSSS TATIYANA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 569 Dt:05/08/2017] , Billno-SMR04210072017-005",1,35336,0,3425,31911
