DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR05-004-SUB POSTMASTER  DADAHU,Total, ,15,5500000,0,0,5500000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:05/06/2018] , Billno-SMR050041868658001",1,200000,0,0,200000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 10 Dt:21/02/2018] , Billno-SMR050041728658002",1,100000,0,0,100000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 11 Dt:21/02/2018] , Billno-SMR050041728658003",1,100000,0,0,100000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 13 Dt:21/08/2018] , Billno-SMR050041888658003",1,600000,0,0,600000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 13 Dt:30/01/2018] , Billno-SMR050041718658002",1,600000,0,0,600000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 14 Dt:21/08/2018] , Billno-SMR050041888658004",1,1000000,0,0,1000000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 17 Dt:27/04/2018] , Billno-SMR050041848658002",1,400000,0,0,400000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:08/12/2017] , Billno-SMR0500417B8658001",1,300000,0,0,300000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:05/01/2018] , Billno-SMR050041718658001",1,300000,0,0,300000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:09/08/2018] , Billno-SMR050041888658001",1,200000,0,0,200000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:09/02/2018] , Billno-SMR050041728658001",1,400000,0,0,400000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:09/08/2018] , Billno-SMR050041888658002",1,200000,0,0,200000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 7 Dt:29/04/2017] , Billno-SMR050041748658001",1,300000,0,0,300000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 9 Dt:21/04/2018] , Billno-SMR050041848658001",1,400000,0,0,400000
SMR05-004-SUB POSTMASTER  DADAHU,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 9 Dt:22/05/2018] , Billno-SMR050041858658001",1,400000,0,0,400000
