DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR05-203-PRI GSSS KOTI DHIMAN,Total, ,91,8008569,1182343,453315,6372911
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 516 Dt:07/04/2017] , Billno-SMR05203032017-001",1,160533,0,21499,139034
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 517 Dt:07/04/2017] , Billno-SMR05203032017-002",1,77332,25000,60,52272
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 518 Dt:07/04/2017] , Billno-SMR05203032017-003",1,108403,30000,39959,38444
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 702 Dt:09/05/2017] , Billno-SMR05203042017-001",1,168041,0,7147,160894
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 727 Dt:09/05/2017] , Billno-SMR052032017100002",1,6396,0,580,5816
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1627 Dt:31/05/2017] , Billno-SMR052032017100005",1,12000,0,0,12000
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 703 Dt:09/05/2017] , Billno-SMR05203042017-002",1,78318,30000,7060,41258
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 704 Dt:09/05/2017] , Billno-SMR05203042017-003",1,110847,30000,8396,72451
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 726 Dt:09/05/2017] , Billno-SMR052032017100001",1,8734,8734,0,0
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 728 Dt:09/05/2017] , Billno-SMR052032017100003",1,12600,6651,495,5454
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 1638 Dt:31/05/2017] , Billno-SMR052032017100004",1,6300,0,0,6300
SMR05-203-PRI GSSS KOTI DHIMAN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 434 Dt:30/06/2017] , Billno-SMR052032017100008",1,200000,0,0,200000
SMR05-203-PRI GSSS KOTI DHIMAN,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 827 Dt:08/06/2017] , Billno-SMR05203052017-001",1,177144,0,12246,164898
