DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR06-204-PR GSSS HARIPURDHAR,Total, ,141,11536386,1327085,729963,9479338
SMR06-204-PR GSSS HARIPURDHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 545 Dt:07/04/2017] , Billno-SMR06204032017-001",1,188601,10000,19655,158946
SMR06-204-PR GSSS HARIPURDHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 546 Dt:07/04/2017] , Billno-SMR06204032017-002",1,81100,30000,120,50980
SMR06-204-PR GSSS HARIPURDHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 547 Dt:07/04/2017] , Billno-SMR06204032017-003",1,296276,35000,18840,242436
SMR06-204-PR GSSS HARIPURDHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 521 Dt:31/05/2017] , Billno-SMR062042017100002",1,120000,0,0,120000
SMR06-204-PR GSSS HARIPURDHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1686 Dt:31/05/2017] , Billno-SMR062042017100005",1,17710,5121,1196,11393
SMR06-204-PR GSSS HARIPURDHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 755 Dt:09/05/2017] , Billno-SMR06204042017-001",1,192563,10000,15588,166975
SMR06-204-PR GSSS HARIPURDHAR,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1666 Dt:31/05/2017] , Billno-SMR062042017100001",1,12500,0,0,12500
SMR06-204-PR GSSS HARIPURDHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1680 Dt:31/05/2017] , Billno-SMR062042017100003",1,9231,9231,0,0
SMR06-204-PR GSSS HARIPURDHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1685 Dt:31/05/2017] , Billno-SMR062042017100004",1,22974,12492,1047,9435
SMR06-204-PR GSSS HARIPURDHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 756 Dt:09/05/2017] , Billno-SMR06204042017-002",1,82129,30000,6120,46009
SMR06-204-PR GSSS HARIPURDHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 757 Dt:09/05/2017] , Billno-SMR06204042017-003",1,303198,35000,22485,245713
SMR06-204-PR GSSS HARIPURDHAR,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 1684 Dt:31/05/2017] , Billno-SMR062042017100006",1,12500,0,0,12500
SMR06-204-PR GSSS HARIPURDHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 882 Dt:08/06/2017] , Billno-SMR06204052017-001",1,189813,10010,15578,164225
