DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,Total, ,64,9740012,1232163,661069,7846780
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 593 Dt:29/04/2017] , Billno-SMR062102017100001",1,200000,0,0,200000
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 562 Dt:07/04/2017] , Billno-SMR06210032017-001",1,265642,55000,8480,202162
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 563 Dt:07/04/2017] , Billno-SMR06210032017-002",1,78925,14000,5588,59337
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1671 Dt:31/05/2017] , Billno-SMR062102017100004",1,14913,14913,0,0
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1672 Dt:31/05/2017] , Billno-SMR062102017100005",1,7624,2826,478,4320
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 772 Dt:09/05/2017] , Billno-SMR06210042017-001",1,274893,55000,8480,211413
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 773 Dt:09/05/2017] , Billno-SMR06210042017-002",1,80321,14000,5642,60679
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1887 Dt:30/06/2017] , Billno-SMR062102017100007",1,4933,0,0,4933
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1888 Dt:30/06/2017] , Billno-SMR062102017100009",1,12180,0,0,12180
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1894 Dt:30/06/2017] , Billno-SMR062102017100012",1,8223,0,36,8187
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 900 Dt:08/06/2017] , Billno-SMR06210052017-001",1,300993,55000,8480,237513
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 901 Dt:08/06/2017] , Billno-SMR06210052017-002",1,75440,0,11268,64172
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1889 Dt:30/06/2017] , Billno-SMR062102017100011",1,6417,0,0,6417
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 217 Dt:30/06/2017] , Billno-SMR062102017100006",1,41710,0,0,41710
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 777 Dt:10/07/2017] , Billno-SMR06210062017-001",1,327004,55000,8516,263488
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 778 Dt:10/07/2017] , Billno-SMR06210062017-002",1,84382,0,11277,73105
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1162 Dt:20/07/2017] , Billno-SMR062102017100016",1,13099,0,0,13099
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1409 Dt:31/08/2017] , Billno-SMR062102017100018",1,209,0,0,209
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 675 Dt:05/08/2017] , Billno-SMR06210072017-001",1,328901,55000,8516,265385
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 676 Dt:05/08/2017] , Billno-SMR06210072017-002",1,84482,0,11277,73205
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 744 Dt:08/09/2017] , Billno-SMR06210082017-001",1,332868,55000,8516,269352
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 745 Dt:08/09/2017] , Billno-SMR06210082017-002",1,85957,0,11268,74689
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1878 Dt:30/10/2017] , Billno-SMR062102017100020",1,21702,18859,0,2843
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1879 Dt:30/10/2017] , Billno-SMR062102017100021",1,9668,0,854,8814
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1880 Dt:30/10/2017] , Billno-SMR062102017100022",1,5122,0,511,4611
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1881 Dt:30/10/2017] , Billno-SMR062102017100023",1,43651,15000,130,28521
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1882 Dt:30/10/2017] , Billno-SMR062102017100024",1,259,0,0,259
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 861 Dt:20/10/2017] , Billno-SMR06210092017-003",1,336138,55000,8516,272622
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 862 Dt:20/10/2017] , Billno-SMR06210092017-004",1,54768,0,7434,47334
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 863 Dt:20/10/2017] , Billno-SMR06210092017-005",1,88000,0,11439,76561
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 625 Dt:03/11/2017] , Billno-SMR06210102017-001",1,391554,55000,22130,314424
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 626 Dt:03/11/2017] , Billno-SMR06210102017-002",1,132308,15000,11632,105676
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 775 Dt:08/12/2017] , Billno-SMR06210112017-001",1,391554,55000,22850,313704
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 776 Dt:08/12/2017] , Billno-SMR06210112017-002",1,132308,15000,12032,105276
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-P-33-MATERIAL AND SUPPLY,"[TRVch# 1606 Dt:30/12/2017] , Billno-SMR062102017100025",1,707008,0,0,707008
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 769 Dt:05/01/2018] , Billno-SMR06210122017-001",1,391554,55000,22130,314424
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 770 Dt:05/01/2018] , Billno-SMR06210122017-002",1,132308,15000,11632,105676
SMR06-210-PR GOVT COLLEGE HARIPURDHAR,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1331 Dt:21/02/2018] , Billno-SMR062102017100026",1,18720,10824,402,7494
