DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR07-218-PR GSSS DARON DEVRIA,Total, ,132,15947866,2749255,965678,12232933
SMR07-218-PR GSSS DARON DEVRIA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 632 Dt:07/04/2017] , Billno-SMR07218032017-001",1,254057,23000,11065,219992
SMR07-218-PR GSSS DARON DEVRIA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 721 Dt:20/04/2017] , Billno-SMR072182017100002",1,28559,14152,629,13778
SMR07-218-PR GSSS DARON DEVRIA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 633 Dt:07/04/2017] , Billno-SMR07218032017-002",1,399162,107000,7859,284303
SMR07-218-PR GSSS DARON DEVRIA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 768 Dt:29/04/2017] , Billno-SMR072182017100001",1,45033,38339,671,6023
SMR07-218-PR GSSS DARON DEVRIA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 314 Dt:22/05/2017] , Billno-SMR072182017100003",1,200000,0,0,200000
SMR07-218-PR GSSS DARON DEVRIA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 850 Dt:09/05/2017] , Billno-SMR07218042017-001",1,257300,23000,16803,217497
SMR07-218-PR GSSS DARON DEVRIA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1733 Dt:31/05/2017] , Billno-SMR072182017100010",1,3375,0,0,3375
SMR07-218-PR GSSS DARON DEVRIA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 851 Dt:09/05/2017] , Billno-SMR07218042017-002",1,406400,107000,19416,279984
SMR07-218-PR GSSS DARON DEVRIA,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1739 Dt:31/05/2017] , Billno-SMR072182017100011",1,13196,0,0,13196
SMR07-218-PR GSSS DARON DEVRIA,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1737 Dt:31/05/2017] , Billno-SMR072182017100008",1,2563,0,0,2563
SMR07-218-PR GSSS DARON DEVRIA,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1738 Dt:31/05/2017] , Billno-SMR072182017100009",1,2848,0,0,2848
SMR07-218-PR GSSS DARON DEVRIA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1015 Dt:08/06/2017] , Billno-SMR07218052017-001",1,257300,23000,16803,217497
SMR07-218-PR GSSS DARON DEVRIA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1570 Dt:20/06/2017] , Billno-SMR072182017100014",1,4500,0,0,4500
SMR07-218-PR GSSS DARON DEVRIA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1016 Dt:08/06/2017] , Billno-SMR07218052017-002",1,439168,112000,20028,307140
