DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR07-221-GHS KANGAR DHARYAR,Total, ,84,19617632,3528939,767429,15321264
SMR07-221-GHS KANGAR DHARYAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 639 Dt:07/04/2017] , Billno-SMR07221032017-001",1,163263,58000,5635,99628
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 640 Dt:07/04/2017] , Billno-SMR07221032017-002",1,79052,48000,60,30992
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 641 Dt:07/04/2017] , Billno-SMR07221032017-003",1,314563,90000,16588,207975
SMR07-221-GHS KANGAR DHARYAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 858 Dt:09/05/2017] , Billno-SMR07221042017-001",1,167317,62000,10270,95047
SMR07-221-GHS KANGAR DHARYAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 905 Dt:09/05/2017] , Billno-SMR072212017100001",1,12935,12935,0,0
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 859 Dt:09/05/2017] , Billno-SMR07221042017-002",1,80060,50000,6755,23305
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 860 Dt:09/05/2017] , Billno-SMR07221042017-003",1,328988,100000,23245,205743
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 906 Dt:09/05/2017] , Billno-SMR072212017100002",1,9072,9072,0,0
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 907 Dt:09/05/2017] , Billno-SMR072212017100003",1,34095,21311,923,11861
SMR07-221-GHS KANGAR DHARYAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1024 Dt:08/06/2017] , Billno-SMR07221052017-001",1,167917,62000,10270,95647
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1025 Dt:08/06/2017] , Billno-SMR07221052017-002",1,82434,50000,6755,25679
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1026 Dt:08/06/2017] , Billno-SMR07221052017-003",1,328988,100000,26442,202546
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1531 Dt:20/06/2017] , Billno-SMR072212017100004",1,108,0,0,108
SMR07-221-GHS KANGAR DHARYAR,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 125 Dt:20/06/2017] , Billno-SMR072212017100005",1,195659,0,0,195659
SMR07-221-GHS KANGAR DHARYAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 864 Dt:10/07/2017] , Billno-SMR07221062017-001",1,179543,62000,10270,107273
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 865 Dt:10/07/2017] , Billno-SMR07221062017-002",1,82434,50000,6755,25679
SMR07-221-GHS KANGAR DHARYAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 866 Dt:10/07/2017] , Billno-SMR07221062017-003",1,307750,100000,24411,183339
SMR07-221-GHS KANGAR DHARYAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 552 Dt:31/08/2017] , Billno-SMR072212017100008",1,1200000,0,0,1200000
SMR07-221-GHS KANGAR DHARYAR,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 7 Dt:21/08/2017] , Billno-SMR072212017100007",1,1739,0,0,1739
