DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SMR08-205-GSSS LANACHETA,Total, ,102,8957422,1212213,340089,7405120
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 677 Dt:07/04/2017] , Billno-SMR08205032017-001",1,54405,20000,30,34375
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 678 Dt:07/04/2017] , Billno-SMR08205032017-002",1,75035,30000,60,44975
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 679 Dt:07/04/2017] , Billno-SMR08205032017-003",1,86263,30000,30,56233
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 680 Dt:07/04/2017] , Billno-SMR08205032017-004",1,21804,0,3561,18243
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 681 Dt:07/04/2017] , Billno-SMR08205032017-005",1,18139,0,3291,14848
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1764 Dt:31/05/2017] , Billno-SMR082052017100003",1,7915,6043,0,1872
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 931 Dt:09/05/2017] , Billno-SMR08205042017-001",1,55092,20000,1530,33562
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1763 Dt:31/05/2017] , Billno-SMR082052017100002",1,9337,0,923,8414
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1765 Dt:31/05/2017] , Billno-SMR082052017100004",1,8613,8613,0,0
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1766 Dt:31/05/2017] , Billno-SMR082052017100005",1,7133,6143,0,990
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1767 Dt:31/05/2017] , Billno-SMR082052017100006",1,1947,0,192,1755
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 932 Dt:09/05/2017] , Billno-SMR08205042017-002",1,75992,30000,6060,39932
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 933 Dt:09/05/2017] , Billno-SMR08205042017-003",1,88036,30000,1530,56506
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 934 Dt:09/05/2017] , Billno-SMR08205042017-004",1,22708,0,3650,19058
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 935 Dt:09/05/2017] , Billno-SMR08205042017-005",1,18360,0,3313,15047
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1090 Dt:08/06/2017] , Billno-SMR08205052017-004",1,55092,20000,1530,33562
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1129 Dt:08/06/2017] , Billno-SMR082052017100008",1,9000,0,0,9000
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1130 Dt:08/06/2017] , Billno-SMR082052017100009",1,9000,0,0,9000
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1131 Dt:08/06/2017] , Billno-SMR082052017100010",1,9000,0,0,9000
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1132 Dt:08/06/2017] , Billno-SMR082052017100012",1,3000,0,0,3000
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1133 Dt:08/06/2017] , Billno-SMR082052017100014",1,12000,0,0,12000
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1649 Dt:20/06/2017] , Billno-SMR082052017100015",1,27300,0,0,27300
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1091 Dt:08/06/2017] , Billno-SMR08205052017-005",1,75992,30000,6060,39932
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1092 Dt:08/06/2017] , Billno-SMR08205052017-006",1,148169,30000,11694,106475
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 946 Dt:10/07/2017] , Billno-SMR08205062017-001",1,55092,20000,1530,33562
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 947 Dt:10/07/2017] , Billno-SMR08205062017-002",1,75992,30000,6060,39932
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 948 Dt:10/07/2017] , Billno-SMR08205062017-003",1,148169,30000,11694,106475
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 849 Dt:05/08/2017] , Billno-SMR08205072017-001",1,55092,20000,1530,33562
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1441 Dt:31/08/2017] , Billno-SMR082052017100017",1,27300,0,0,27300
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1437 Dt:31/08/2017] , Billno-SMR082052017100016",1,2256,0,0,2256
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 850 Dt:05/08/2017] , Billno-SMR08205072017-002",1,75992,30000,6060,39932
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 851 Dt:05/08/2017] , Billno-SMR08205072017-003",1,148169,30000,11694,106475
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 907 Dt:08/09/2017] , Billno-SMR08205082017-001",1,56057,20000,1530,34527
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 930 Dt:08/09/2017] , Billno-SMR082052017100019",1,27300,0,0,27300
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 908 Dt:08/09/2017] , Billno-SMR08205082017-002",1,79562,30000,6060,43502
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 909 Dt:08/09/2017] , Billno-SMR08205082017-003",1,150604,30000,11694,108910
SMR08-205-GSSS LANACHETA,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 26 Dt:08/09/2017] , Billno-SMR082052017100018",1,28331,0,0,28331
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1067 Dt:20/10/2017] , Billno-SMR08205092017-001",1,56973,20000,1530,35443
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1516 Dt:24/10/2017] , Billno-SMR082052017100027",1,7301,7301,0,0
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1068 Dt:20/10/2017] , Billno-SMR08205092017-002",1,80876,30000,6060,44816
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1069 Dt:20/10/2017] , Billno-SMR08205092017-003",1,164624,30000,11791,122833
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1517 Dt:24/10/2017] , Billno-SMR082052017100028",1,10284,10284,0,0
SMR08-205-GSSS LANACHETA,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 88 Dt:20/10/2017] , Billno-SMR082052017100030",1,3208,0,0,3208
SMR08-205-GSSS LANACHETA,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 89 Dt:20/10/2017] , Billno-SMR082052017100031",1,3118,0,0,3118
SMR08-205-GSSS LANACHETA,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 90 Dt:20/10/2017] , Billno-SMR082052017100032",1,3118,0,0,3118
SMR08-205-GSSS LANACHETA,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 91 Dt:20/10/2017] , Billno-SMR082052017100033",1,1596,0,0,1596
SMR08-205-GSSS LANACHETA,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 92 Dt:20/10/2017] , Billno-SMR082052017100034",1,610,0,0,610
SMR08-205-GSSS LANACHETA,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 93 Dt:20/10/2017] , Billno-SMR082052017100035",1,1862,0,0,1862
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1301 Dt:21/11/2017] , Billno-SMR082052017100040",1,56973,20000,1530,35443
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1298 Dt:21/11/2017] , Billno-SMR082052017100036",1,17052,7328,780,8944
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1302 Dt:21/11/2017] , Billno-SMR082052017100041",1,80876,30000,7060,43816
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1303 Dt:21/11/2017] , Billno-SMR082052017100042",1,165086,0,7281,157805
SMR08-205-GSSS LANACHETA,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1287 Dt:21/11/2017] , Billno-SMR082052017100020",1,3980,0,0,3980
SMR08-205-GSSS LANACHETA,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 199 Dt:21/11/2017] , Billno-SMR082052017100037",1,7764,0,0,7764
SMR08-205-GSSS LANACHETA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 954 Dt:08/12/2017] , Billno-SMR08205112017-001",1,56973,20000,1610,35363
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1268 Dt:21/12/2017] , Billno-SMR082052017100043",1,32760,0,0,32760
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1269 Dt:21/12/2017] , Billno-SMR082052017100044",1,32760,0,0,32760
SMR08-205-GSSS LANACHETA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1270 Dt:21/12/2017] , Billno-SMR082052017100045",1,32760,0,0,32760
