DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",Total, ,145,203759942,1870368,299807,201589767
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 360 Dt:24/04/2017] , Billno-SOL005302017100001",1,325000,0,0,325000
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-SOL00530032017-001",1,16423,0,228,16195
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-03-S00N-V-P-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-SOL00530032017-002",1,144239,24941,2097,117201
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-03-S00N-V-P-01-SALARIES,"[TRVch# 3 Dt:03/04/2017] , Billno-SOL00530032017-003",1,161348,34000,3314,124034
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 72 Dt:08/05/2017] , Billno-SOL005302017100005",1,400000,0,0,400000
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-01-SALARIES,"[TRVch# 1 Dt:01/05/2017] , Billno-SOL00530042017-001",1,146083,34941,7797,103345
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-01-SALARIES,"[TRVch# 2 Dt:01/05/2017] , Billno-SOL00530042017-002",1,163744,34000,8848,120896
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-01-SALARIES,"[TRVch# 3 Dt:01/05/2017] , Billno-SOL00530042017-003",1,17373,0,228,17145
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-01-SALARIES,"[TRVch# 4 Dt:09/05/2017] , Billno-SOL005302017100002",1,12623,12623,0,0
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-01-SALARIES,"[TRVch# 5 Dt:11/05/2017] , Billno-SOL005302017100003",1,17148,14124,306,2718
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-05-OFFICE EXPENSES,"[TRVch# 7 Dt:22/05/2017] , Billno-SOL005302017100012",1,1418,0,0,1418
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-3451-00-101-02-S00N-V-P-06-MEDICAL REIMBURSEMENT,"[TRVch# 6 Dt:18/05/2017] , Billno-SOL005302017100011",1,3522,0,0,3522
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-5475-00-800-01-S00N-V-P-37-MAJOR WORKS,"[TRVch# 4 Dt:08/05/2017] , Billno-SOL005302017100006",1,2500000,0,0,2500000
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-5475-00-800-01-S00N-V-P-37-MAJOR WORKS,"[TRVch# 5 Dt:08/05/2017] , Billno-SOL005302017100007",1,7501000,0,0,7501000
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-5475-00-800-02-S00N-V-P-37-MAJOR WORKS,"[TRVch# 1 Dt:08/05/2017] , Billno-SOL005302017100008",1,11000000,0,0,11000000
"SOL00-530-DISTT.PLANNING OFFICER, SOLAN",15-5475-00-800-03-S00N-V-P-37-MAJOR WORKS,"[TRVch# 2 Dt:08/05/2017] , Billno-SOL005302017100009",1,2674000,0,0,2674000
