DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",Total, ,37,1025269,0,612893,412376
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 10 Dt:09/02/2018] , Billno-SOL016150200209806",1,8779,0,0,8779
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 105 Dt:28/02/2018] , Billno-SOL016150216143811",1,4250,0,0,4250
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 12 Dt:09/02/2018] , Billno-SOL016150200209807",1,19840,0,0,19840
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 125 Dt:31/08/2017] , Billno-SOL016150200322296",1,9900,0,0,9900
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 127 Dt:30/01/2018] , Billno-SOL016150200209809",1,5099,0,0,5099
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 127 Dt:31/10/2017] , Billno-SOL016150200322299",1,3606,0,0,3606
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 128 Dt:31/10/2017] , Billno-SOL016150200322298",1,3171,0,0,3171
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 139 Dt:29/09/2017] , Billno-SOL016150216143808",1,17056,0,0,17056
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 143 Dt:31/07/2017] , Billno-SOL016150200322294",1,9990,0,0,9990
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 145 Dt:31/07/2017] , Billno-SOL016150200322293",1,1598,0,0,1598
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 15 Dt:08/06/2017] , Billno-SOL016150200322292",1,3983,0,0,3983
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 205 Dt:31/03/2018] , Billno-SOL016150200209812",1,4962,0,0,4962
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 211 Dt:31/03/2018] , Billno-SOL016150200209813",1,9500,0,0,9500
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 214 Dt:31/03/2018] , Billno-SOL016150216143813",1,128938,0,0,128938
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 217 Dt:31/03/2018] , Billno-SOL016150200209814",1,6418,0,0,6418
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 218 Dt:31/03/2018] , Billno-SOL016151738782034",1,247319,0,247319,0
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 26 Dt:10/01/2018] , Billno-SOL016150216143810",1,5838,0,0,5838
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 28 Dt:10/01/2018] , Billno-SOL016150200209808",1,9500,0,0,9500
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 3 Dt:10/04/2018] , Billno-SOL016151848782001",1,108628,0,108628,0
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 31 Dt:09/03/2018] , Billno-SOL016150216143812",1,18672,0,0,18672
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 45 Dt:22/11/2017] , Billno-SOL016150200209803",1,9900,0,0,9900
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 62 Dt:20/10/2017] , Billno-SOL016150200209801",1,2498,0,0,2498
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 63 Dt:23/07/2018] , Billno-SOL016150216143814",1,11984,0,0,11984
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 64 Dt:21/12/2017] , Billno-SOL016150200209805",1,6105,0,0,6105
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 64 Dt:22/06/2017] , Billno-SOL016151768782005",1,211035,0,211035,0
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 65 Dt:23/07/2018] , Billno-SOL016150200209817",1,9990,0,0,9990
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 67 Dt:23/07/2018] , Billno-SOL016150200209816",1,1735,0,0,1735
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 69 Dt:21/09/2017] , Billno-SOL016150200322297",1,9900,0,0,9900
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 69 Dt:22/06/2017] , Billno-SOL016151768782010",1,34499,0,34499,0
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 74 Dt:22/06/2017] , Billno-SOL016151768782015",1,11412,0,11412,0
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 79 Dt:23/08/2017] , Billno-SOL016150216143807",1,40681,0,0,40681
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 80 Dt:23/08/2017] , Billno-SOL016150200322295",1,9900,0,0,9900
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 83 Dt:20/10/2017] , Billno-SOL016150200209802",1,9900,0,0,9900
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 85 Dt:30/11/2017] , Billno-SOL016150200209804",1,2897,0,0,2897
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 9 Dt:10/08/2018] , Billno-SOL016150200209818",1,11211,0,0,11211
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 96 Dt:30/11/2017] , Billno-SOL016150216143809",1,4600,0,0,4600
"SOL01-615-E.E. PWD N.H.DIVISION,SOLAN",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 98 Dt:30/06/2018] , Billno-SOL016150200209815",1,9975,0,0,9975
