DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SOL02-212-GSSS GHAI GHAT,Total, ,189,12427031,2755052,664387,9007592
SOL02-212-GSSS GHAI GHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 436 Dt:29/04/2017] , Billno-SOL022122017100001",1,100000,0,0,100000
SOL02-212-GSSS GHAI GHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 759 Dt:10/04/2017] , Billno-SOL02212032017-001",1,52693,23000,30,29663
SOL02-212-GSSS GHAI GHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 760 Dt:10/04/2017] , Billno-SOL02212032017-002",1,34623,0,1688,32935
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 761 Dt:10/04/2017] , Billno-SOL02212032017-003",1,72990,23000,60,49930
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 762 Dt:10/04/2017] , Billno-SOL02212032017-004",1,219746,86500,3724,129522
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 763 Dt:10/04/2017] , Billno-SOL02212032017-005",1,147025,0,10294,136731
SOL02-212-GSSS GHAI GHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1571 Dt:22/05/2017] , Billno-SOL022122017100017",1,5952,5952,0,0
SOL02-212-GSSS GHAI GHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1572 Dt:22/05/2017] , Billno-SOL022122017100018",1,1989,0,198,1791
SOL02-212-GSSS GHAI GHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 615 Dt:09/05/2017] , Billno-SOL02212042017-001",1,53411,23000,1575,28836
SOL02-212-GSSS GHAI GHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 616 Dt:09/05/2017] , Billno-SOL02212042017-002",1,35744,0,1710,34034
SOL02-212-GSSS GHAI GHAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1575 Dt:22/05/2017] , Billno-SOL022122017100021",1,13590,0,0,13590
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1567 Dt:22/05/2017] , Billno-SOL022122017100012",1,4888,0,480,4408
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1568 Dt:22/05/2017] , Billno-SOL022122017100013",1,27796,0,0,27796
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1569 Dt:22/05/2017] , Billno-SOL022122017100015",1,11834,0,1087,10747
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1570 Dt:22/05/2017] , Billno-SOL022122017100016",1,24137,24137,0,0
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1573 Dt:22/05/2017] , Billno-SOL022122017100019",1,8298,8298,0,0
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1574 Dt:22/05/2017] , Billno-SOL022122017100020",1,60470,22000,2605,35865
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 617 Dt:09/05/2017] , Billno-SOL02212042017-003",1,73921,23000,5725,45196
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 618 Dt:09/05/2017] , Billno-SOL02212042017-004",1,224309,91500,10440,122369
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 619 Dt:09/05/2017] , Billno-SOL02212042017-005",1,151194,0,13072,138122
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-02-WAGES,"[TRVch# 1532 Dt:22/05/2017] , Billno-SOL022122017100003",1,6300,0,0,6300
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1534 Dt:22/05/2017] , Billno-SOL022122017100005",1,3634,0,0,3634
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1535 Dt:22/05/2017] , Billno-SOL022122017100008",1,382,0,0,382
SOL02-212-GSSS GHAI GHAT,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1536 Dt:22/05/2017] , Billno-SOL022122017100009",1,238,0,0,238
