DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"SOL03-724-E.E. IPH DIVISION,SOLAN.",Total, ,32,104882391,0,0,104882391
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 108 Dt:29/05/2018] , Billno-SOL037240300093933",1,7000,0,0,7000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 109 Dt:30/06/2018] , Billno-SOL037240300093935",1,7000,0,0,7000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 11 Dt:10/11/2017] , Billno-SOL037240300093925",1,9900,0,0,9900
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 111 Dt:30/06/2018] , Billno-SOL037240316111027",1,2906763,0,0,2906763
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 118 Dt:31/07/2018] , Billno-SOL037240300093936",1,9900,0,0,9900
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 125 Dt:31/08/2018] , Billno-SOL037240316111028",1,93182,0,0,93182
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 134 Dt:31/05/2017] , Billno-SOL037240300093916",1,150000,0,0,150000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 146 Dt:30/01/2018] , Billno-SOL037240300093928",1,9900,0,0,9900
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 149 Dt:30/12/2017] , Billno-SOL037240300093927",1,5000,0,0,5000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 151 Dt:30/12/2017] , Billno-SOL037240316111021",1,19035,0,0,19035
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 16 Dt:10/08/2018] , Billno-SOL037240300093937",1,9900,0,0,9900
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 167 Dt:31/07/2017] , Billno-SOL037240300093920",1,10000,0,0,10000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 187 Dt:31/10/2017] , Billno-SOL037240300093924",1,9900,0,0,9900
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 19 Dt:10/07/2017] , Billno-SOL037240316111018",1,4761,0,0,4761
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 22 Dt:08/06/2018] , Billno-SOL037240300093934",1,5691,0,0,5691
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 23 Dt:08/06/2018] , Billno-SOL037240316111026",1,20924055,0,0,20924055
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 23 Dt:08/09/2017] , Billno-SOL037240316111020",1,4825,0,0,4825
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 24 Dt:08/09/2017] , Billno-SOL037240300093923",1,9000,0,0,9000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 253 Dt:31/03/2018] , Billno-SOL037240316111022",1,37490000,0,0,37490000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 255 Dt:31/03/2018] , Billno-SOL037240300093930",1,11044,0,0,11044
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 257 Dt:31/03/2018] , Billno-SOL037240316111023",1,42414000,0,0,42414000
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 258 Dt:31/03/2018] , Billno-SOL037240300093931",1,9900,0,0,9900
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 261 Dt:31/03/2018] , Billno-SOL037240300093932",1,9900,0,0,9900
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 262 Dt:31/03/2018] , Billno-SOL037240316111025",1,46287,0,0,46287
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 263 Dt:31/03/2018] , Billno-SOL037240316111024",1,125103,0,0,125103
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 78 Dt:21/12/2017] , Billno-SOL037240300093926",1,6044,0,0,6044
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 83 Dt:22/06/2017] , Billno-SOL037240316111016",1,520150,0,0,520150
"SOL03-724-E.E. IPH DIVISION,SOLAN.",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 85 Dt:22/06/2017] , Billno-SOL037240300093918",1,10000,0,0,10000
