DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SOL04-202-GSSS DIGGAL,Total, ,192,26076966,5471017,1665930,18940019
SOL04-202-GSSS DIGGAL,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 227 Dt:20/04/2017] , Billno-SOL042022017100002",1,40000,0,0,40000
SOL04-202-GSSS DIGGAL,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 226 Dt:20/04/2017] , Billno-SOL042022017100001",1,125000,0,0,125000
SOL04-202-GSSS DIGGAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 371 Dt:10/04/2017] , Billno-SOL04202032017-001",1,523896,212500,5913,305483
SOL04-202-GSSS DIGGAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 372 Dt:10/04/2017] , Billno-SOL04202032017-002",1,106489,0,11672,94817
SOL04-202-GSSS DIGGAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 373 Dt:10/04/2017] , Billno-SOL04202032017-003",1,75254,25000,120,50134
SOL04-202-GSSS DIGGAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 374 Dt:10/04/2017] , Billno-SOL04202032017-004",1,429729,171000,11119,247610
SOL04-202-GSSS DIGGAL,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 375 Dt:10/04/2017] , Billno-SOL04202032017-005",1,101838,0,9880,91958
SOL04-202-GSSS DIGGAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1605 Dt:22/05/2017] , Billno-SOL042022017100005",1,48600,48600,0,0
SOL04-202-GSSS DIGGAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1609 Dt:22/05/2017] , Billno-SOL042022017100009",1,13060,0,1315,11745
SOL04-202-GSSS DIGGAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2130 Dt:31/05/2017] , Billno-SOL042022017100021",1,94795,0,9473,85322
SOL04-202-GSSS DIGGAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 785 Dt:09/05/2017] , Billno-SOL04202042017-001",1,491428,212000,28586,250842
SOL04-202-GSSS DIGGAL,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 786 Dt:09/05/2017] , Billno-SOL04202042017-002",1,139928,0,18191,121737
