DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"SOL05-423-E.E. IPH DIVISION, NALAGARH",Total, ,1028,493897664,111340704,9929458,372627502
"SOL05-423-E.E. IPH DIVISION, NALAGARH",00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 469 Dt:29/04/2017] , Billno-SOL054232017100005",1,6750,0,0,6750
"SOL05-423-E.E. IPH DIVISION, NALAGARH",00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 472 Dt:29/04/2017] , Billno-SOL054232017100007",1,70000,0,0,70000
"SOL05-423-E.E. IPH DIVISION, NALAGARH",00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 473 Dt:29/04/2017] , Billno-SOL054232017100004",1,200000,0,0,200000
"SOL05-423-E.E. IPH DIVISION, NALAGARH",00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 474 Dt:29/04/2017] , Billno-SOL054232017100006",1,400000,0,0,400000
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-001-02-S00NM-V-N-01-SALARIES,"[TRVch# 16 Dt:10/04/2017] , Billno-SOL05423032017-001",1,161512,75060,1018,85434
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-001-02-S00NM-V-N-01-SALARIES,"[TRVch# 17 Dt:10/04/2017] , Billno-SOL05423032017-002",1,66854,0,7540,59314
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-001-02-S00NM-V-N-01-SALARIES,"[TRVch# 18 Dt:10/04/2017] , Billno-SOL05423032017-003",1,651921,265550,22508,363863
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-001-02-S00NM-V-N-01-SALARIES,"[TRVch# 19 Dt:10/04/2017] , Billno-SOL05423032017-004",1,68289,0,1638,66651
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-001-02-S00NM-V-N-01-SALARIES,"[TRVch# 24 Dt:29/04/2017] , Billno-SOL054232017100008",1,16931,0,0,16931
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-001-02-S00NM-V-N-01-SALARIES,"[TRVch# 25 Dt:29/04/2017] , Billno-SOL054232017100009",1,4608,0,0,4608
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-101-02-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:10/04/2017] , Billno-SOL05423032017-005",1,3971874,1267000,30185,2674689
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-101-02-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:10/04/2017] , Billno-SOL05423032017-006",1,252080,0,4282,247798
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-102-03-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:10/04/2017] , Billno-SOL05423032017-007",1,3966894,1231500,38794,2696600
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2215-01-102-03-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:10/04/2017] , Billno-SOL05423032017-008",1,343086,0,43706,299380
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2702-80-001-01-S00N-V-N-01-SALARIES,"[TRVch# 11 Dt:10/04/2017] , Billno-SOL05423032017-009",1,277603,62000,1438,214165
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2702-80-001-01-S00N-V-N-01-SALARIES,"[TRVch# 12 Dt:10/04/2017] , Billno-SOL05423032017-010",1,555017,229000,7829,318188
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2702-80-001-01-S00N-V-N-01-SALARIES,"[TRVch# 13 Dt:10/04/2017] , Billno-SOL05423032017-011",1,74754,0,3885,70869
"SOL05-423-E.E. IPH DIVISION, NALAGARH",13-2702-80-001-02-S00N-V-N-01-SALARIES,"[TRVch# 14 Dt:10/04/2017] , Billno-SOL05423032017-012",1,5567044,1903100,43792,3620152
