DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SOL06-201-BEEO KUTHAR,Total, ,485,311863867,48982124,18888951,243992792
SOL06-201-BEEO KUTHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 308 Dt:20/04/2017] , Billno-SOL062012017100004",1,800000,0,0,800000
SOL06-201-BEEO KUTHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 309 Dt:20/04/2017] , Billno-SOL062012017100005",1,400000,0,0,400000
SOL06-201-BEEO KUTHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 310 Dt:20/04/2017] , Billno-SOL062012017100006",1,700000,0,0,700000
SOL06-201-BEEO KUTHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 45 Dt:10/04/2017] , Billno-SOL062012017100001",1,200000,0,0,200000
SOL06-201-BEEO KUTHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 46 Dt:10/04/2017] , Billno-SOL062012017100002",1,300000,0,0,300000
SOL06-201-BEEO KUTHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 47 Dt:10/04/2017] , Billno-SOL062012017100003",1,150000,0,0,150000
SOL06-201-BEEO KUTHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 519 Dt:29/04/2017] , Billno-SOL062012017100010",1,170000,0,0,170000
SOL06-201-BEEO KUTHAR,08-2202-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 578 Dt:10/04/2017] , Billno-SOL06201032017-001",1,5916114,2136261,100604,3679249
SOL06-201-BEEO KUTHAR,08-2202-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 579 Dt:10/04/2017] , Billno-SOL06201032017-002",1,5716461,0,713720,5002741
SOL06-201-BEEO KUTHAR,08-2202-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 790 Dt:20/04/2017] , Billno-SOL062012017100007",1,381000,0,0,381000
SOL06-201-BEEO KUTHAR,08-2202-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 820 Dt:29/04/2017] , Billno-SOL062012017100014",1,2950,0,0,2950
SOL06-201-BEEO KUTHAR,08-2202-01-104-02-S00N-V-N-01-SALARIES,"[TRVch# 580 Dt:10/04/2017] , Billno-SOL06201032017-003",1,316524,160000,3953,152571
SOL06-201-BEEO KUTHAR,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 59 Dt:29/04/2017] , Billno-SOL062012017100013",1,527180,0,0,527180
