DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SOL07-201-PRINCIPAL GSSS SAYARI,Total, ,227,28917581,5632124,1841271,21444186
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 387 Dt:30/06/2017] , Billno-SOL072012017100028",1,80000,0,0,80000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 364 Dt:31/05/2017] , Billno-SOL072012017100001",1,200000,0,0,200000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 365 Dt:31/05/2017] , Billno-SOL072012017100002",1,270000,0,0,270000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 386 Dt:30/06/2017] , Billno-SOL072012017100027",1,105000,0,0,105000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 404 Dt:30/06/2018] , Billno-SOL072012018100027",1,3000000,0,0,3000000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 405 Dt:30/06/2018] , Billno-SOL072012018100035",1,30000,0,0,30000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 517 Dt:31/08/2017] , Billno-SOL072012017100060",1,50000,0,0,50000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 65 Dt:10/11/2017] , Billno-SOL072012017100074",1,60000,0,0,60000
SOL07-201-PRINCIPAL GSSS SAYARI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 9 Dt:10/11/2017] , Billno-SOL072012017100053",1,8050,0,0,8050
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1000 Dt:10/08/2017] , Billno-SOL07201072017-001",1,88708,40000,7845,40863
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1001 Dt:10/08/2017] , Billno-SOL07201072017-002",1,460488,101850,15486,343152
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1002 Dt:10/08/2017] , Billno-SOL07201072017-003",1,92613,0,18625,73988
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1003 Dt:10/08/2017] , Billno-SOL07201072017-004",1,21300,0,2032,19268
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1027 Dt:10/10/2017] , Billno-SOL07201092017-001",1,91690,40000,7845,43845
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1028 Dt:10/10/2017] , Billno-SOL07201092017-002",1,440280,101850,15555,322875
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1029 Dt:10/10/2017] , Billno-SOL07201092017-003",1,95713,0,18781,76932
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1030 Dt:10/10/2017] , Billno-SOL07201092017-004",1,22001,0,2067,19934
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1033 Dt:10/11/2017] , Billno-SOL07201102017-001",1,323761,46850,7978,268933
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1034 Dt:10/11/2017] , Billno-SOL07201102017-002",1,183716,0,26731,156985
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1036 Dt:08/06/2017] , Billno-SOL07201052017-001",1,86147,40000,7845,38302
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1037 Dt:08/06/2017] , Billno-SOL07201052017-002",1,445611,101850,15410,328351
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1038 Dt:08/06/2017] , Billno-SOL07201052017-003",1,91012,0,18474,72538
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1102 Dt:09/05/2017] , Billno-SOL07201042017-001",1,86147,40000,7845,38302
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1103 Dt:09/05/2017] , Billno-SOL07201042017-002",1,445611,94850,16038,334723
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1104 Dt:09/05/2017] , Billno-SOL07201042017-003",1,91012,0,18474,72538
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1110 Dt:09/02/2018] , Billno-SOL07201012018-001",1,120321,46850,4901,68570
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1111 Dt:09/02/2018] , Billno-SOL07201012018-002",1,333160,0,34552,298608
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1240 Dt:09/03/2018] , Billno-SOL07201022018-001",1,124182,46850,15676,61656
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1241 Dt:09/03/2018] , Billno-SOL07201022018-002",1,297331,0,28257,269074
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1517 Dt:30/06/2018] , Billno-SOL072012018100024",1,3400,0,0,3400
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1586 Dt:30/11/2017] , Billno-SOL072012017100083",1,23030,15182,0,7848
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1587 Dt:30/11/2017] , Billno-SOL072012017100084",1,32361,0,2121,30240
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2053 Dt:28/02/2018] , Billno-SOL072012017100113",1,13146,8694,0,4452
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2054 Dt:28/02/2018] , Billno-SOL072012017100114",1,18834,0,1765,17069
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2130 Dt:31/10/2017] , Billno-SOL072012017100057",1,31099,22209,2563,6327
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2131 Dt:31/10/2017] , Billno-SOL072012017100058",1,5193,0,527,4666
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2136 Dt:31/10/2017] , Billno-SOL072012017100066",1,961,0,0,961
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3558 Dt:31/03/2018] , Billno-SOL072012017100141",1,94139,88565,5574,0
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3559 Dt:31/03/2018] , Billno-SOL072012017100142",1,30504,0,0,30504
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3560 Dt:31/03/2018] , Billno-SOL072012017100143",1,154989,0,1688,153301
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 532 Dt:10/04/2018] , Billno-SOL07201032018-001",1,124182,46850,60,77272
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 533 Dt:10/04/2018] , Billno-SOL07201032018-002",1,333577,0,31415,302162
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 765 Dt:08/05/2018] , Billno-SOL07201042018-001",1,125984,65850,5725,54409
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 766 Dt:08/05/2018] , Billno-SOL07201042018-002",1,333577,0,39496,294081
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 804 Dt:10/08/2018] , Billno-SOL07201072018-001",1,145803,65850,5725,74228
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 805 Dt:10/08/2018] , Billno-SOL07201072018-002",1,382282,0,78426,303856
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 815 Dt:08/06/2018] , Billno-SOL07201052018-001",1,143899,65850,5725,72324
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 816 Dt:08/06/2018] , Billno-SOL07201052018-002",1,339352,0,50664,288688
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 824 Dt:10/07/2018] , Billno-SOL07201062018-001",1,143899,65850,5725,72324
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 825 Dt:10/07/2018] , Billno-SOL07201062018-002",1,333961,0,71920,262041
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 898 Dt:08/12/2017] , Billno-SOL07201112017-001",1,180267,46850,5171,128246
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 899 Dt:08/12/2017] , Billno-SOL07201112017-002",1,327939,0,27821,300118
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 915 Dt:10/07/2017] , Billno-SOL07201062017-001",1,88708,40000,7845,40863
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 916 Dt:10/07/2017] , Billno-SOL07201062017-002",1,471521,101850,15486,354185
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 917 Dt:10/07/2017] , Billno-SOL07201062017-003",1,91012,0,18474,72538
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 934 Dt:10/01/2018] , Billno-SOL07201122017-001",1,180267,46850,4931,128486
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 935 Dt:10/01/2018] , Billno-SOL07201122017-002",1,329179,0,34253,294926
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 973 Dt:10/07/2017] , Billno-SOL072012017100029",1,9774,8797,977,0
SOL07-201-PRINCIPAL GSSS SAYARI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 974 Dt:10/07/2017] , Billno-SOL072012017100031",1,10278,0,1613,8665
