DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,Total, ,51,6396895,1445000,376086,4575809
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 108 Dt:10/07/2018] , Billno-SOL082142018100026",1,100000,0,0,100000
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 132 Dt:10/08/2018] , Billno-SOL082142018100032",1,225000,0,0,225000
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 518 Dt:31/08/2018] , Billno-SOL082142018100035",1,400071,0,0,400071
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 553 Dt:31/07/2018] , Billno-SOL082142018100028",1,100000,0,0,100000
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 567 Dt:27/04/2018] , Billno-SOL082142018100001",1,150000,0,0,150000
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 14 Dt:08/05/2018] , Billno-SOL082142018100002",1,5671,0,0,5671
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 15 Dt:08/05/2018] , Billno-SOL082142018100003",1,9136,0,0,9136
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1018 Dt:10/07/2018] , Billno-SOL082142018100024",1,613,0,0,613
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1393 Dt:31/07/2018] , Billno-SOL082142018100027",1,944,0,0,944
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 883 Dt:08/05/2018] , Billno-SOL08214042018-001",1,122896,26000,4842,92054
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 884 Dt:08/05/2018] , Billno-SOL08214042018-002",1,261882,0,36622,225260
SOL08-214-PRINCIPAL GSSS GHANAGUGHAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 933 Dt:10/08/2018] , Billno-SOL08214072018-001",1,125970,26000,6182,93788
