DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),Total, ,33,5754094,1566166,91481,4096447
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-UNA00054032017-001",1,214965,101300,1037,112628
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 59 Dt:06/05/2017] , Billno-UNA000542017100006",1,100000,0,0,100000
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/05/2017] , Billno-UNA00054042017-001",1,217663,110300,9637,97726
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-01-SALARIES,"[TRVch# 4 Dt:05/05/2017] , Billno-UNA000542017100001",1,24652,24652,0,0
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/06/2017] , Billno-UNA00054052017-001",1,219191,110300,9637,99254
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/07/2017] , Billno-UNA00054062017-001",1,219191,110300,9637,99254
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 4 Dt:24/07/2017] , Billno-UNA000542017100011",1,1116,0,0,1116
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 5 Dt:24/07/2017] , Billno-UNA000542017100008",1,4561,0,0,4561
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 6 Dt:24/07/2017] , Billno-UNA000542017100007",1,7569,0,0,7569
UNA00-054-LAND AQUISITION OFFICER (RAILWAY),05-2506-00-102-02-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/08/2017] , Billno-UNA00054072017-001",1,221198,110300,9637,101261
