DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,Total, ,131,2889609,612345,204018,2073246
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 25 Dt:03/04/2017] , Billno-UNA00542032017-001",1,18715,0,0,18715
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-02-WAGES,"[TRVch# 61 Dt:18/04/2017] , Billno-UNA005422017000001",1,6200,0,0,6200
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 102 Dt:25/04/2017] , Billno-UNA005422017000002",1,6148,0,0,6148
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 29 Dt:01/05/2017] , Billno-UNA00542042017-001",1,19690,0,0,19690
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-02-WAGES,"[TRVch# 35 Dt:04/05/2017] , Billno-UNA005422017100001",1,6300,0,0,6300
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 95 Dt:19/05/2017] , Billno-UNA005422017100002",1,5874,0,0,5874
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 28 Dt:01/06/2017] , Billno-UNA00542052017-001",1,19690,0,0,19690
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-02-WAGES,"[TRVch# 74 Dt:13/06/2017] , Billno-UNA005422017100003",1,6510,0,0,6510
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 79 Dt:14/06/2017] , Billno-UNA005422017100004",1,5878,0,0,5878
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 28 Dt:01/07/2017] , Billno-UNA00542062017-001",1,19690,0,0,19690
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-02-WAGES,"[TRVch# 102 Dt:29/07/2017] , Billno-UNA005422017100007",1,6300,0,0,6300
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 100 Dt:27/07/2017] , Billno-UNA005422017100006",1,2785,0,0,2785
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 57 Dt:18/07/2017] , Billno-UNA005422017100005",1,7666,0,0,7666
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 28 Dt:01/08/2017] , Billno-UNA00542072017-001",1,105734,41670,12120,51944
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 29 Dt:01/08/2017] , Billno-UNA00542072017-002",1,19690,0,0,19690
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-02-WAGES,"[TRVch# 39 Dt:02/08/2017] , Billno-UNA005422017100008",1,6510,0,0,6510
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 102 Dt:29/08/2017] , Billno-UNA005422017100011",1,1285,0,0,1285
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 75 Dt:21/08/2017] , Billno-UNA005422017100009",1,7332,0,0,7332
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,"03-2014-00-800-02-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR","[TRVch# 70 Dt:18/08/2017] , Billno-UNA005422017100010",1,3271,0,0,3271
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 5 Dt:01/09/2017] , Billno-UNA00542082017-001",1,107438,41670,12120,53648
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-01-SALARIES,"[TRVch# 6 Dt:01/09/2017] , Billno-UNA00542082017-002",1,19690,0,0,19690
UNA00-542-SECRETARY DISTRICT LEGAL AUTHORITY UNA,03-2014-00-800-02-S00N-V-N-02-WAGES,"[TRVch# 65 Dt:08/09/2017] , Billno-UNA005422017100012",1,6510,0,0,6510
