DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
UNA01-226-BEEO AMB,Total, ,536,239069428,49088802,11452131,178528495
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 263 Dt:24/04/2017] , Billno-UNA012262017100001",1,300000,0,0,300000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 264 Dt:24/04/2017] , Billno-UNA012262017100002",1,400000,0,0,400000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 265 Dt:24/04/2017] , Billno-UNA012262017100003",1,300000,0,0,300000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 266 Dt:24/04/2017] , Billno-UNA012262017100004",1,120000,0,0,120000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 267 Dt:24/04/2017] , Billno-UNA012262017100005",1,50000,0,0,50000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 268 Dt:24/04/2017] , Billno-UNA012262017100006",1,200000,0,0,200000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 269 Dt:24/04/2017] , Billno-UNA012262017100007",1,300000,0,0,300000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 365 Dt:29/04/2017] , Billno-UNA012262017100008",1,250000,0,0,250000
UNA01-226-BEEO AMB,08-2202-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 620 Dt:07/04/2017] , Billno-UNA01226032017-001",1,6174675,2411500,81212,3681963
UNA01-226-BEEO AMB,08-2202-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 621 Dt:07/04/2017] , Billno-UNA01226032017-002",1,1566411,0,217067,1349344
UNA01-226-BEEO AMB,08-2202-01-101-01-S00N-V-N-02-WAGES,"[TRVch# 830 Dt:29/04/2017] , Billno-UNA012262017100009",1,62400,0,0,62400
UNA01-226-BEEO AMB,08-2202-01-104-02-S00N-V-N-01-SALARIES,"[TRVch# 622 Dt:07/04/2017] , Billno-UNA01226032017-003",1,216445,64000,424,152021
UNA01-226-BEEO AMB,32-2202-01-789-01-S00N-V-P-01-SALARIES,"[TRVch# 623 Dt:07/04/2017] , Billno-UNA01226032017-004",1,22038,0,0,22038
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 100 Dt:08/05/2017] , Billno-UNA012262017100012",1,150000,0,0,150000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 106 Dt:08/05/2017] , Billno-UNA012262017100011",1,200000,0,0,200000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 268 Dt:24/05/2017] , Billno-UNA012262017100022",1,200000,0,0,200000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 269 Dt:24/05/2017] , Billno-UNA012262017100019",1,400000,0,0,400000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 270 Dt:24/05/2017] , Billno-UNA012262017100020",1,400000,0,0,400000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 271 Dt:24/05/2017] , Billno-UNA012262017100023",1,263684,0,0,263684
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 368 Dt:31/05/2017] , Billno-UNA012262017100029",1,700000,0,0,700000
UNA01-226-BEEO AMB,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 369 Dt:31/05/2017] , Billno-UNA012262017100031",1,250000,0,0,250000
