DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,Total, ,98,32251535,2172696,2445752,27633087
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 720 Dt:07/04/2017] , Billno-UNA01249032017-001",1,929373,81000,35225,813148
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 721 Dt:07/04/2017] , Billno-UNA01249032017-002",1,109348,0,3396,105952
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 75 Dt:24/04/2017] , Billno-UNA012492017100002",1,1000000,0,0,1000000
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 74 Dt:24/04/2017] , Billno-UNA012492017100001",1,1531120,0,0,1531120
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 111 Dt:08/05/2017] , Billno-UNA012492017100006",1,4148716,0,0,4148716
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 24 Dt:31/05/2017] , Billno-UNA012492017100013",1,141008,0,0,141008
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1000 Dt:08/05/2017] , Billno-UNA01249042017-001",1,998950,96084,127941,774925
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1001 Dt:08/05/2017] , Billno-UNA01249042017-002",1,129076,0,3440,125636
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1131 Dt:08/05/2017] , Billno-UNA012492017100008",1,6306,0,388,5918
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1132 Dt:08/05/2017] , Billno-UNA012492017100003",1,4016,0,0,4016
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1588 Dt:24/05/2017] , Billno-UNA012492017000001",1,622641,0,38139,584502
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2110 Dt:31/05/2017] , Billno-UNA012492017100010",1,41492,41492,0,0
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2111 Dt:31/05/2017] , Billno-UNA012492017100011",1,28440,0,2850,25590
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 2112 Dt:31/05/2017] , Billno-UNA012492017100012",1,30963,0,0,30963
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1130 Dt:08/05/2017] , Billno-UNA012492017100009",1,2984,0,0,2984
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 2113 Dt:31/05/2017] , Billno-UNA012492017100014",1,16701,0,0,16701
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,29-2071-01-104-02-S00N-V-N-38-PENSIONS,"[TRVch# 85 Dt:08/05/2017] , Billno-UNA012492017100004",1,1000000,0,0,1000000
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 241 Dt:31/05/2017] , Billno-UNA012492017100015",1,20230,0,0,20230
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,29-2071-01-115-01-S00N-V-N-38-PENSIONS,"[TRVch# 84 Dt:08/05/2017] , Billno-UNA012492017100005",1,1435660,0,0,1435660
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 477 Dt:06/06/2017] , Billno-UNA01249052017-001",1,523794,121000,92480,310314
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 478 Dt:06/06/2017] , Billno-UNA01249052017-002",1,520933,0,60378,460555
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 479 Dt:06/06/2017] , Billno-UNA01249052017-003",1,129264,0,3440,125824
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 210 Dt:25/07/2017] , Billno-UNA012492017100016",1,100000,0,0,100000
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 28 Dt:25/07/2017] , Billno-UNA012492017100018",1,2019,0,0,2019
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 440 Dt:07/07/2017] , Billno-UNA01249062017-001",1,523794,156000,92480,275314
UNA01-249-PRINCIPAL GDC DAULATPAUR CHOWK,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 441 Dt:07/07/2017] , Billno-UNA01249062017-002",1,570762,0,54917,515845
