DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
UNA02-232-GSSS KUTHAR BEAT,Total, ,136,6798775,444139,634427,5720209
UNA02-232-GSSS KUTHAR BEAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 462 Dt:07/04/2017] , Billno-UNA02232032017-001",1,87142,16000,45,71097
UNA02-232-GSSS KUTHAR BEAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 463 Dt:07/04/2017] , Billno-UNA02232032017-002",1,75361,0,30,75331
UNA02-232-GSSS KUTHAR BEAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 464 Dt:07/04/2017] , Billno-UNA02232032017-003",1,77213,0,7517,69696
UNA02-232-GSSS KUTHAR BEAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 465 Dt:07/04/2017] , Billno-UNA02232032017-004",1,16117,0,0,16117
UNA02-232-GSSS KUTHAR BEAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 466 Dt:07/04/2017] , Billno-UNA02232032017-005",1,36524,0,1792,34732
UNA02-232-GSSS KUTHAR BEAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1935 Dt:31/05/2017] , Billno-UNA022322017100001",1,9867,9867,0,0
UNA02-232-GSSS KUTHAR BEAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1936 Dt:31/05/2017] , Billno-UNA022322017100002",1,2088,0,208,1880
UNA02-232-GSSS KUTHAR BEAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 635 Dt:08/05/2017] , Billno-UNA02232042017-001",1,89964,21000,1045,67919
UNA02-232-GSSS KUTHAR BEAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 636 Dt:08/05/2017] , Billno-UNA02232042017-002",1,77491,0,30,77461
UNA02-232-GSSS KUTHAR BEAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1937 Dt:31/05/2017] , Billno-UNA022322017100003",1,8697,0,873,7824
UNA02-232-GSSS KUTHAR BEAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1938 Dt:31/05/2017] , Billno-UNA022322017100004",1,2115,0,216,1899
