DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
UNA02-234-PRINCIPAL ITI SANTOSHGARH,Total, ,153,5116610,375824,413558,4327228
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:07/04/2017] , Billno-UNA02234032017-001",1,86062,20000,60,66002
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:07/04/2017] , Billno-UNA02234032017-002",1,80445,0,6219,74226
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:07/04/2017] , Billno-UNA02234032017-003",1,76740,0,7452,69288
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 24 Dt:07/04/2017] , Billno-UNA02234032017-004",1,14603,0,0,14603
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 111 Dt:31/05/2017] , Billno-UNA022342017100001",1,9786,9786,0,0
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 112 Dt:31/05/2017] , Billno-UNA022342017100002",1,7293,0,732,6561
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 113 Dt:31/05/2017] , Billno-UNA022342017100003",1,8688,0,872,7816
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 32 Dt:08/05/2017] , Billno-UNA02234042017-001",1,87160,30000,7060,50100
UNA02-234-PRINCIPAL ITI SANTOSHGARH,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 33 Dt:08/05/2017] , Billno-UNA02234042017-002",1,82775,0,7756,75019
