DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
UNA03-005-SUB POST MASTER BANGANA,Total, ,26,7700000,0,0,7700000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:06/01/2018] , Billno-UNA030051718658001",1,400000,0,0,400000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:06/12/2017] , Billno-UNA0300517B8658001",1,150000,0,0,150000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:07/11/2017] , Billno-UNA0300517A8658001",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:08/03/2018] , Billno-UNA030051738658001",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:08/05/2018] , Billno-UNA030051858658001",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:21/06/2018] , Billno-UNA030051868658001",1,500000,0,0,500000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:22/06/2017] , Billno-UNA030051768658001",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 1 Dt:25/10/2017] , Billno-UNA030051708658001",1,500000,0,0,500000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:06/12/2017] , Billno-UNA0300517B8658002",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:07/02/2018] , Billno-UNA030051728658001",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:09/08/2017] , Billno-UNA030051788658001",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:21/03/2018] , Billno-UNA030051738658002",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:21/06/2018] , Billno-UNA030051868658002",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:22/01/2018] , Billno-UNA030051718658002",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:22/05/2018] , Billno-UNA030051858658002",1,400000,0,0,400000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 2 Dt:29/09/2017] , Billno-UNA030051798658001",1,900000,0,0,900000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:07/02/2018] , Billno-UNA030051728658002",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:09/08/2017] , Billno-UNA030051788658002",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:21/11/2017] , Billno-UNA0300517A8658002",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 3 Dt:26/12/2017] , Billno-UNA0300517B8658003",1,150000,0,0,150000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:07/02/2018] , Billno-UNA030051728658003",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:21/11/2017] , Billno-UNA0300517A8658003",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:23/08/2017] , Billno-UNA030051788658003",1,300000,0,0,300000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 4 Dt:30/01/2018] , Billno-UNA030051718658003",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 5 Dt:17/02/2018] , Billno-UNA030051728658004",1,200000,0,0,200000
UNA03-005-SUB POST MASTER BANGANA,00-8658-00-102-19-S00N-V-N-00- ,"[TRVch# 8 Dt:28/02/2018] , Billno-UNA030051728658005",1,100000,0,0,100000
