DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,14,364220
"HMR03-634-E.E. PWD DIVISION,HAMIRPUR",Total, , , ,14,364220
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,10
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,10
 , , ,31/08/2017,Total,1,10
 , , , ,[J0070000005] AE HPPWD SUJANPUR RTI RECEIPT,1,10
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,13,364210
 , ,8782-00-102-00- ,Total, ,13,364210
 , , ,29/04/2017,Total,1,12840
 , , , ,[F8782000002] AE HPPWD SUJANPUR RECEIPT,1,12840
 , , ,31/05/2017,Total,1,28330
 , , , ,[G8782000002] AE HPPWD SUJANPUR RECEIPT,1,28330
 , , ,20/06/2017,Total,1,10120
 , , , ,[H8782000001] AE HPPWD SUJANPUR RECEIPT,1,10120
 , , ,31/07/2017,Total,1,27780
 , , , ,[I8782000002] AE HPPWD SUJANPUR RECEIPT,1,27780
 , , ,31/08/2017,Total,1,22320
 , , , ,[J8782000001] AE HPPWD SUJANPUR RECEIPT,1,22320
 , , ,29/09/2017,Total,1,19620
 , , , ,[K8782000001] AE HPPWD SUJANPUR RECEIPT,1,19620
 , , ,31/10/2017,Total,1,21530
 , , , ,[L8782000002] AE HPPWD SUJANPUR RECEIPT,1,21530
 , , ,30/11/2017,Total,1,8660
 , , , ,[M8782000001] AE HPPWD SUJANPUR RECEIPT,1,8660
 , , ,30/12/2017,Total,1,22710
 , , , ,[N8782000002] AE HPPWD SUJANPUR RECEIPT,1,22710
 , , ,28/02/2018,Total,1,34630
 , , , ,[D8782000001] AE HPPWD SUJANPUR RECEIPT,1,34630
 , , ,31/03/2018,Total,1,28840
 , , , ,[E8782000003] AE HPPWD SUJANPUR RECEIPT,1,28840
 , , ,27/04/2018,Total,1,45030
 , , , ,[F8782000002] AE HPPWD SUJANPUR RECEIPT,1,45030
 , , ,29/05/2018,Total,1,21860
 , , , ,[G8782000002] AE HPPWD SUJANPUR RECEIPT,1,21860
 , , ,30/06/2018,Total,1,23150
 , , , ,[H8782000002] AE HPPWD SUJANPUR RECEIPT,1,23150
 , , ,31/07/2018,Total,1,10340
 , , , ,[I8782000002] HPPWD SUJANPUR RECEIPT,1,10340
 , , ,31/08/2018,Total,1,26450
 , , , ,[J8782000002] HPPWD SUJANPUR RECEIPT,1,26450
