DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,23,40811
KNG10-212-PR GSSS JAISINGHPUR,Total, , , ,23,40811
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,22,40571
 , ,0202-01-101-02-SECONDARY EDUCATION,Total, ,1,112
 , , ,21/08/2017,Total,1,112
 , , , ,"[J0202000005] HIMGRN:B17H118215, PRINCIPAL SECONDARY EDUCATION -Admission Fee and LCF GMS Tikkri Dabi under GSSS Jaisinghpur for April,2017 to",1,112
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,21,40459
 , , ,29/04/2017,Total,1,7585
 , , , ,"[F0202000007] HIMGRN:B17D175481, PRINCIPAL TUITION AND OTHER FEES -Amount of Admission fees and LCF of 6th to 10+2 classes w.e.f. 20-03-2017 to",1,7585
 , , ,31/05/2017,Total,4,2795
 , , , ,"[G0202000009] HIMGRN:B17E116714, PRINCIPAL TUITION AND OTHER FEES -Tution fees and LCF",1,75
 , , , ,"[G0202000010] HIMGRN:B17E118549, PRINCIPAL GSSS KARANGHAT TUITION AND OTHER FEES -",1,1955
 , , , ,"[G0202000016] HIMGRN:B17E129909, HEADMASTER GHS UTTRAPUR TUITION AND OTHER FEES -LCF",1,55
 , , , ,"[G0202000020] HIMGRN:B17E135637, PRINCIPAL TUITION AND OTHER FEES -Tution fee/Adm.fee/Late Adm. fee/LCF",1,710
 , , ,30/06/2017,Total,1,50
 , , , ,"[H0202000010] HIMGRN:B17F115143, PRINCIPAL TUITION AND OTHER FEES -Admission fee/LCF of 6th to 10+2 classes",1,50
 , , ,10/07/2017,Total,1,4490
 , , , ,"[I0202000002] HIMGRN:B17F146260, PRINCIPAL TUITION AND OTHER FEES -Tution fee and LCF of 8th to 10+2 classes of June,2017",1,4490
 , , ,21/08/2017,Total,1,105
 , , , ,"[J0202000004] HIMGRN:b17h117879, PRINCIPAL TUITION AND OTHER FEES -Tution Fee and Late Fee Fine",1,105
 , , ,21/09/2017,Total,1,110
 , , , ,"[K0202000007] HIMGRN:B17I115029, PRINCIPAL TUITION AND OTHER FEES -Tution Fee, LFF and LCF of 8th to 10+2 classes",1,110
 , , ,31/10/2017,Total,1,4410
 , , , ,"[L0202000010] HIMGRN:B17J128879, PRINCIPAL TUITION AND OTHER FEES -Tution Fee of 10+1 and 10+2 class for Oct.2017 to Dec.2017",1,4410
 , , ,21/11/2017,Total,1,65
 , , , ,"[M0202000003] HIMGRN:B17K111308, PRINCIPAL TUITION AND OTHER FEES -Adm. Fee and LCF of 6th 10th class",1,65
 , , ,20/12/2017,Total,1,2790
 , , , ,"[N0202000004] HIMGRN:B17L109567, PRINCIPAL GSSS BALAKRUPI TUITION AND OTHER FEES -",1,2790
 , , ,20/01/2018,Total,1,3925
 , , , ,"[C0202000006] HIMGRN:B18A116770, PRINCIPAL TUITION AND OTHER FEES -Tution Fee and Re Admission Fee",1,3925
 , , ,09/02/2018,Total,1,693
 , , , ,"[D0202000008] HIMGRN:B18B107085, PR G S S S JAISINGHPUR TUITION AND OTHER FEES -TUTION FEES LATE FEES FINE AND LCF OF 11TH AND 12TH CLASSES",1,693
 , , ,19/03/2018,Total,1,15
 , , , ,"[E0202000007] HIMGRN:B18C113361, PRINCIPAL TUITION AND OTHER FEES -LCF",1,15
 , , ,16/04/2018,Total,1,40
 , , , ,"[F0202000002] HIMGRN:B18D135392, HM GHS UTTRAPUR TUITION AND OTHER FEES -Admission fee",1,40
 , , ,27/04/2018,Total,1,7785
 , , , ,"[F0202000014] HIMGRN:b18d172309, PRINCIPAL TUITION AND OTHER FEES -Admission Fee, Late Admission Fee, Tution Fee and LCF of Sixth to Plus Two c",1,7785
 , , ,24/05/2018,Total,1,865
 , , , ,"[G0202000002] HIMGRN:B18E102874, PRINCIPAL TUITION AND OTHER FEES -Admission Fee,Late Admission Fee,Tution Fee and LCF of Sixth to Plus Two cla",1,865
 , , ,31/05/2018,Total,1,186
 , , , ,"[G0202000026] HIMGRN:B18E149158, PRINCIPAL TUITION AND OTHER FEES -Admission Fee, Re-Admission Fee,Late Admission Fee and LCF of Eighth to Plus",1,186
 , , ,30/06/2018,Total,2,4550
 , , , ,"[H0202000030] HIMGRN:B18F145594, PRINCIPAL TUITION AND OTHER FEES -Tution Fee, LCF and LFF of Sixth to Plus Two class students",1,4516
 , , , ,"[H0202000031] HIMGRN:B18F145705, HEADMASTER TUITION AND OTHER FEES -Admission Fee and LCF of Sixth to Eighth class students",1,34
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,1,240
 , ,0235-60-105-02-INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT. EMPLOYEES.,Total, ,1,240
 , , ,20/12/2017,Total,1,240
 , , , ,"[N0235000002] HIMGRN:B17L113961, PR G S S S JAISINGHPUR INDEX PERSONAL INSURANCE ACCIDENT SCHEME FOR GOVT EMP -PERSONNEL INDEX ACCIDENT INSURANCE SCHEME IN",1,240
