DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,14,178000
SML07-222-PRINCIPAL ITI CHIRGAON,Total, , , ,14,178000
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,4,60400
 , ,0202-02-101-01-TUTION FEES,Total, ,4,60400
 , , ,31/07/2018,Total,2,17800
 , , , ,"[I0202000003] HIMGRN:B18G108235, PRINCIPAL ITICHIRGAON TUTION FEES -TR-5 R No.0014706 to0014718",1,13400
 , , , ,"[I0202000009] HIMGRN:B18G126429, PRINCIPAL ITICHIRGAON TUTION FEES -TR Receipt No 0014719 to 0014722",1,4400
 , , ,31/08/2018,Total,2,42600
 , , , ,"[J0202000003] HIMGRN:B18H113045, PRINCIPAL ITICHIRGAON TUTION FEES -Tuition fee",1,35200
 , , , ,"[J0202000004] HIMGRN:B18H116580, PRINCIPAL ITICHIRGAON TUTION FEES -Tuition fee",1,7400
 ,0230-LABOUR & EMPLOYMENT,Total, , ,10,117600
 , ,0230-00-800-08-OTHER MISC.RECEIPTS- TECHNICAL EDUCATION,Total, ,10,117600
 , , ,31/07/2017,Total,4,42200
 , , , ,"[I0230000001] HIMGRN:B17G100580, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission and Tuition Fee received from Trainees Vide HP T",1,28000
 , , , ,"[I0230000002] HIMGRN:B17G119363, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission =Tuition Fee Received vide TR-5 R. No. 0014530-1",1,9800
 , , , ,"[I0230000003] HIMGRN:B17G125017, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Tuition and Admission fee Received vide TR-05 Receipt No.",1,3000
 , , , ,"[I0230000004] HIMGRN:B17G141395, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission and Tuition fee recieved vide TR-5 Receipt No. 0",1,1400
 , , ,31/08/2017,Total,3,21200
 , , , ,"[J0230000001] HIMGRN:B17H103726, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission Fee received vide TR 05 Receipt No. 0014541 to 0",1,19200
 , , , ,"[J0230000002] HIMGRN:B17H114302, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission fee vide receIpt TR no.001455 to 0014558",1,400
 , , , ,"[J0230000003] HIMGRN:B17H117700, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -TR 05 RECEIPT NO. 0014559-60",1,1600
 , , ,29/09/2017,Total,1,1400
 , , , ,"[K0230000001] HIMGRN:B17H141089, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -Admission and Tuition fee received vide TR receipt No. 001",1,1400
 , , ,28/02/2018,Total,2,52800
 , , , ,"[D0230000001] HIMGRN:B18B110000, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -TUITION FEE RECEIVED VIDE TR5 RECEIPT",1,51600
 , , , ,"[D0230000002] HIMGRN:B18B133123, PRINCIPAL ITICHIRGAON OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -TR-5 Reciept",1,1200
