DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,4,7684504
CTO00-138-A.D.(EDU.) SCHOLARSHIPS SHIMLA,Total, , , ,4,7684504
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,4,7684504
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,4,7684504
 , , ,25/04/2017,Total,1,2683613
 , , , ,"[F0202000014] HIMGRN:B17D157031, DDO SCHOLARSHIP MISCELLANEOUS RECEIPTS -SCHOLARSHIP INTEREST deposited By DD 622166 Dated 21.04.2017,",1,2683613
 , , ,22/05/2017,Total,1,248170
 , , , ,"[G0202000014] HIMGRN:B17E127747, DDO SCHOLARSHIP BRANCH MISCELLANEOUS RECEIPTS -MISCELLANEOUS RECEIPTS SCHOLARSHIP INTEREST Deposited By DD 115474 Dated 16.",1,248170
 , , ,21/07/2017,Total,1,4119098
 , , , ,"[I0202000014] HIMGRN:B17G132051, DDO SCHOLARSHIP MISCELLANEOUS RECEIPTS -MISCELLANEOUS RECEIPTS SCHOLARSHIP INTEREST DEPOSITED BY DD 840025 DATED 10.",1,4119098
 , , ,02/08/2017,Total,1,633623
 , , , ,"[J0202000004] HIMGRN:B17G143609, DDO SCHOLARSHIP MISCELLANEOUS RECEIPTS -MISCELLANEOUS RECEIPTS MISCELLANEOUS RECEIPTS SCHOLARSHIP INTEREST DEPOSITED",1,633623
