DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,4,203600
KNG09-233-PRINCIPAL ITI BAIJNATH,Total, , , ,4,203600
 ,0230-LABOUR & EMPLOYMENT,Total, , ,4,203600
 , ,0230-00-800-08-OTHER MISC.RECEIPTS- TECHNICAL EDUCATION,Total, ,4,203600
 , , ,21/09/2017,Total,2,105800
 , , , ,"[K0230000001] HIMGRN:B17I106171, ITI BAIJNATH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,101400
 , , , ,"[K0230000002] HIMGRN:B17I105204, ITI BAIJNATH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,4400
 , , ,30/11/2017,Total,1,600
 , , , ,"[M0230000001] HIMGRN:B17K113511, PRINCIPAL OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,600
 , , ,28/02/2018,Total,1,97200
 , , , ,"[D0230000001] HIMGRN:B18B133099, PRINCIPAL ITI BAIJNATH OTHER MISC.RECEIPTS- TECHNICAL EDUCATION -",1,97200
