DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,152,1507043
SOL00-060-CIVIL JUDGE(JR DIVISION)-CUM-JUDICIAL MAGISTRATE,Total, , , ,152,1507043
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,138,621764
 , ,0070-01-102-01-FINES AND FOREFEITURES,Total, ,135,605800
 , , ,03/04/2017,Total,1,400
 , , , ,[F0070000005] JMIC COURT NO 2 SOLAN FINE,1,400
 , , ,10/04/2017,Total,1,25450
 , , , ,[F0070000021] JMIC SOLAN FINE,1,25450
 , , ,12/04/2017,Total,1,200
 , , , ,[F0070000049] JMIC SOLAN FINE,1,200
 , , ,13/04/2017,Total,1,1000
 , , , ,[F0070000051] LD JMIC SOLAN NO 2 SOLAN FINE,1,1000
 , , ,18/04/2017,Total,1,2000
 , , , ,[F0070000054] LD JMIC SOLAN FINE,1,2000
 , , ,19/04/2017,Total,1,500
 , , , ,[F0070000063] JMIC SOLAN FINE,1,500
 , , ,20/04/2017,Total,1,700
 , , , ,[F0070000065] JMIC SOLAN FINE,1,700
 , , ,24/04/2017,Total,1,9150
 , , , ,[F0070000092] JMIC COURT 2 SOLAN FINE,1,9150
 , , ,27/04/2017,Total,1,500
 , , , ,[F0070000104] JMIC SOLAN FINE,1,500
 , , ,08/05/2017,Total,1,1000
 , , , ,[G0070000025] JMIC IST CLASS COURT NO 2 FINE,1,1000
 , , ,16/05/2017,Total,1,500
 , , , ,[G0070000041] JMIC COURT NO 2 FINE,1,500
 , , ,18/05/2017,Total,1,400
 , , , ,[G0070000044] JMIC SOLAN COURT NO 2 FINE,1,400
 , , ,22/05/2017,Total,1,1900
 , , , ,[G0070000053] JMIC SOLAN COURT NO 2 FINE,1,1900
 , , ,23/05/2017,Total,1,7000
 , , , ,[G0070000092] JMIC SOLAN C NO 2 FINE,1,7000
 , , ,26/05/2017,Total,1,20000
 , , , ,[G0070000105] JMIC SOLAN FINE,1,20000
 , , ,29/05/2017,Total,2,3650
 , , , ,[G0070000115] JMIC SOLAN COURT NO 1 FINE,1,3150
 , , , ,[G0070000116] JMIC SOLAN FINE,1,500
 , , ,31/05/2017,Total,1,400
 , , , ,[G0070000123] JMIC COURT 2 SOLAN FINE,1,400
 , , ,01/06/2017,Total,1,500
 , , , ,[H0070000004] JMIC SOLAN FINE,1,500
 , , ,12/06/2017,Total,2,2200
 , , , ,[H0070000046] JMIC SOLAN FINE,1,200
 , , , ,[H0070000047] JMIC SOLAN FINE,1,2000
 , , ,15/06/2017,Total,1,500
 , , , ,[H0070000059] JMIC COURT 2 SOLAN FINE,1,500
 , , ,16/06/2017,Total,1,8700
 , , , ,[H0070000060] JMIC SOLAN FINE,1,8700
 , , ,17/06/2017,Total,1,7000
 , , , ,[H0070000067] JMIC SOLAN FINE,1,7000
 , , ,19/06/2017,Total,1,29500
 , , , ,[H0070000069] JMIC SOLAN FINE,1,29500
 , , ,20/06/2017,Total,1,200
 , , , ,[H0070000076] JMIC SOLAN C NO 2 SOLAN FINE,1,200
 , , ,21/06/2017,Total,1,7000
 , , , ,[H0070000083] JMIC SOLAN FINE,1,7000
 , , ,22/06/2017,Total,1,500
 , , , ,[H0070000085] JMIC SOLAN FINE,1,500
 , , ,28/06/2017,Total,1,100
 , , , ,[H0070000141] JMIC SOLAN C NO 2 SOLAN FINE,1,100
 , , ,01/07/2017,Total,1,24000
 , , , ,[I0070000005] JMIC SOLAN FINE,1,24000
 , , ,03/07/2017,Total,1,1500
 , , , ,[I0070000010] JMIC SOLAN FINE,1,1500
 , , ,04/07/2017,Total,1,400
 , , , ,[I0070000014] JMIC SOLAN FINE,1,400
 , , ,06/07/2017,Total,1,500
 , , , ,[I0070000017] JMIC SOLAN FINE,1,500
 , , ,10/07/2017,Total,2,24500
 , , , ,[I0070000027] JMIC SOLAN FINE,1,200
 , , , ,[I0070000028] JMIC SOLAN FINE,1,24300
 , , ,21/07/2017,Total,1,700
