DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,29/04/2017,"[F0401000004] HIMGRN:B17D166352, SUBJECT MATTER SPECIALIST HORT RECEIPTS FROM BOTANICAL GARDENS -Tr 5 No. 4383298 to 4383300 , 4383301 to 4383303",1,2510
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,31/05/2017,"[G0401000005] HIMGRN:B17E144480, SUBJECT MATTER SPECIALIST HORTICULTURE RECEIPTS FROM BOTANICAL GARDENS -TR 5 Nos 4383310 to 4383332",1,6810
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,10/07/2017,"[I0401000001] HIMGRN:B17G105975, SUBJECT MATTER SPECIALIST HORTICULTURE RECEIPTS FROM BOTANICAL GARDENS -TR 5 Nos 4383338 to 4383361",1,11850
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,31/07/2017,"[I0401000003] HIMGRN:B17G145406, SUBJECT MATTER SPECIALIST (HORT) RECEIPTS FROM BOTANICAL GARDENS -TR-5 No.4383362 to 4383372",1,5250
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,31/08/2017,"[J0401000001] HIMGRN:B17H106874, SUBJECT MATTER SPECIALIST HORTI RECEIPTS FROM BOTANICAL GARDENS -TR 5 No. 4383373 to 4383375",1,2100
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,31/08/2017,"[J0401000005] HIMGRN:B17H130979, SUBJECT MATTER SPECIALIST (HORT) RECEIPTS FROM BOTANICAL GARDENS -TR-5 Nos4383377 to 4383380",1,7580
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,08/09/2017,"[K0401000004] HIMGRN:B17I105042, SUBJECT MATTER SPECIALIST HORTICULTURE RECEIPTS FROM BOTANICAL GARDENS -TR-5 No. 4383381 to 4383384",1,3880
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,29/09/2017,"[K0401000007] HIMGRN:B17I132793, SUBJECT MATTER SPECIALIST HORTICULTURE RECEIPTS FROM BOTANICAL GARDENS -TR-5 Nos-4383385 to 4383389",1,2570
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,10/11/2017,"[M0401000001] HIMGRN:B17K100980, SUBJECT MATTER SPECIALIST HORTICULTURE RECEIPTS FROM BOTANICAL GARDENS -TR 5 NOs 4383390 to 4383397",1,3760
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,21/12/2017,"[N0401000003] HIMGRN:B17L107468, SUBJECT MATTER SPECIALIST HORTICULTURE RECEIPTS FROM BOTANICAL GARDENS -TR 5 Nos 4383398 to 4383400 and 4383401 to 4383408",1,77350
SOL03-018-SUBJECT MATTER SPECIALIST HORTICULTURE CHAIL,0401-CROP HUSBANDRY,0401-00-119-02-RECEIPTS FROM BOTANICAL GARDENS,30/12/2017,"[N0401000005] HIMGRN:B17L135809, SUBJECT MATTER SPECIALIST HORTICULTURE RECEIPTS FROM BOTANICAL GARDENS -TR 5 Nos 4383409 to 4383414",1,13350
