DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,19,51235047
MDI01-217-PR MLSM COLLEGE SUNDERNAGAR,Total, , , ,19,51235047
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,90
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,90
 , , ,22/05/2017,Total,1,90
 , , , ,"[G0070000008] HIMGRN:B17E109615, PRINCIPAL RECEIPT FROM RIGHT TO INFORMATION ACT -RTI Fee",1,90
 ,8449-OTHER DEPOSITS,Total, , ,18,51234957
 , ,8449-00-120-00- ,Total, ,18,51234957
 , , ,29/04/2017,Total,1,102425
 , , , ,"[F8449000001] HIMGRN:B17D168498, PRINCIPAL MISCELLANEOUS DEPOSITS -Late Fee",1,102425
 , , ,22/06/2017,Total,2,7013933
 , , , ,"[H8449000001] HIMGRN:B17F104265, PRINCIPAL MISCELLANEOUS DEPOSITS -GIA for the 1st Quarter of 2017-18",1,6961143
 , , , ,"[H8449000002] HIMGRN:B17F104323, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution Fee",1,52790
 , , ,31/07/2017,Total,2,10201428
 , , , ,"[I8449000001] HIMGRN:B17G139182, PRINCIPAL MISCELLANEOUS DEPOSITS -5 Percent MC Share of GIA for the 2nd Quarter for the F.Y. 2017-18",1,1500000
 , , , ,"[I8449000002] HIMGRN:B17G139050, PRINCIPAL MISCELLANEOUS DEPOSITS -GIA of 2nd Quarter for the F.Y. 2017-18",1,8701428
 , , ,24/08/2017,Total,1,121125
 , , , ,"[J8449000001] HIMGRN:B17H109485, PRINCIPAL MISCELLANEOUS DEPOSITS -Late Fee / Tution Fee",1,121125
 , , ,29/09/2017,Total,1,59525
 , , , ,"[K8449000001] HIMGRN:B17I124867, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution Fee/Adm Fee and late Adm Fee",1,59525
 , , ,31/10/2017,Total,1,10441714
 , , , ,"[L8449000001] HIMGRN:B17J120683, PRINCIPAL MISCELLANEOUS DEPOSITS -Grant In Aid for the 3rd Quarter of the Financial Year 2017-18",1,10441714
 , , ,20/11/2017,Total,1,1277022
 , , , ,"[M8449000001] HIMGRN:B17K106921, PRINCIPAL MISCELLANEOUS DEPOSITS -DA Arrears",1,1277022
 , , ,21/12/2017,Total,1,70500
 , , , ,"[N8449000001] HIMGRN:B17L103522, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution Fee",1,70500
 , , ,30/12/2017,Total,1,83550
 , , , ,"[N8449000002] HIMGRN:B17L132032, PRINCIPAL MISCELLANEOUS DEPOSITS -Late Tution Fee",1,83550
 , , ,30/01/2018,Total,1,56865
 , , , ,"[C8449000001] HIMGRN:B18A123737, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution Fee",1,56865
 , , ,22/02/2018,Total,1,8701428
 , , , ,"[D8449000001] HIMGRN:B18B111816, PRINCIPAL MISCELLANEOUS DEPOSITS -GIA 4th Quarter for the Financial Year 2017-18",1,8701428
 , , ,28/02/2018,Total,2,975835
 , , , ,"[D8449000002] HIMGRN:B18B131586, PRINCIPAL MISCELLANEOUS DEPOSITS -Late Tution Fee",1,835
 , , , ,"[D8449000003] HIMGRN:B18B131579, PRINCIPAL MISCELLANEOUS DEPOSITS -5 Percent MC Share for the Financial Year 2017-18",1,975000
 , , ,19/03/2018,Total,1,29680
 , , , ,"[E8449000001] HIMGRN:B18C105154, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution Fee",1,29680
 , , ,24/04/2018,Total,1,4056177
 , , , ,"[F8449000001] HIMGRN:B18D106364, PRINCIPAL MISCELLANEOUS DEPOSITS -DA and IR Arrears",1,4056177
 , , ,10/05/2018,Total,1,100405
 , , , ,"[G8449000001] HIMGRN:B18D170380, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution Fee and 5 Percent MC share",1,100405
 , , ,28/05/2018,Total,1,20930
 , , , ,"[G8449000002] HIMGRN:B18E128545, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution and Late Tution fee",1,20930
 , , ,07/07/2018,Total,1,6737115
 , , , ,"[I8449000001] HIMGRN:B18F142063, PRINCIPAL MISCELLANEOUS DEPOSITS -Grant 1st Quarter 2018 19",1,6737115
 , , ,31/07/2018,Total,1,1000000
 , , , ,"[I8449000002] HIMGRN:B18G144750, PRINCIPAL MISCELLANEOUS DEPOSITS -5 Percent MC Share for the Financial Year 2018 19",1,1000000
 , , ,23/08/2018,Total,1,185300
 , , , ,"[J8449000001] HIMGRN:B18H106261, PRINCIPAL MISCELLANEOUS DEPOSITS -Tution fee for the FY 2018 19",1,185300
