DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/04/2017,"[F8782000007] HIMGRN:B17D156409, AEIPH BANJAR PUBLIC WORKS REMITTANCES -Remittance",1,15353
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,29/04/2017,"[F8782000013] HIMGRN:B17D171090, AEIPH BANJAR PUBLIC WORKS REMITTANCES -Remittance",1,9173
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/05/2017,"[G8782000007] HIMGRN:B17E130181, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,8367
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/05/2017,"[G8782000011] HIMGRN:B17E136552, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,4100
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,31/05/2017,"[G8782000017] HIMGRN:B17E150062, AEIPH BANJAR PUBLIC WORKS REMITTANCES -Remittance",1,4900
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,07/06/2017,"[H8782000001] HIMGRN:B17E148298, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,1167
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,17/06/2017,"[H8782000004] HIMGRN:B17F118145, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,5872
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/06/2017,"[H8782000017] HIMGRN:B17F140482, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,45061
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/06/2017,"[H8782000021] HIMGRN:B17F142681, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,43301
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,30/06/2017,"[H8782000022] HIMGRN:B17F146050, AEIPH BANJAR PUBLIC WORKS REMITTANCES -Remittance",1,66850
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,19/07/2017,"[I8782000001] HIMGRN:B17G104911, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,7804
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,19/07/2017,"[I8782000004] HIMGRN:B17G110288, AEIPH BANJAR PUBLIC WORKS REMITTANCES -Remittance",1,10732
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,19/07/2017,"[I8782000007] HIMGRN:B17G112573, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,6930
KLU01-763-E.E.IPH.KULLU-II AT BHUNTER,8782-CASH REMITTANCES & ADJUSTMENTS,8782-00-102-00- ,19/07/2017,"[I8782000010] HIMGRN:B17G125191, AEIPH BANJAR PUBLIC WORKS REMITTANCES -remittance",1,10918
