DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,347,3002650
SML12-510-SUPERINTENDENT OF POLICE,Total, , , ,347,3002650
 ,0041-TAXES ON VEHICLES,Total, , ,290,2482600
 , ,0041-00-101-01-ROUTE PERMIT FEE,Total, ,2,5900
 , , ,29/04/2017,Total,1,3000
 , , , ,[F0041000062] IC P P CITY ROHRU COMPOUNDING CHALLAN,1,3000
 , , ,30/06/2018,Total,1,2900
 , , , ,[H0041000052] IC P P CITY ROHRU COMPOUNDING CHALLAN,1,2900
 , ,0041-00-101-02-REGISTRATION FEE/INSPECTION FEE,Total, ,1,6500
 , , ,30/06/2017,Total,1,6500
 , , , ,[H0041000092] S H O ROHRU M V ACT CHALLAN,1,6500
 , ,0041-00-101-04-PENALTY,Total, ,289,2470200
 , , ,29/04/2017,Total,13,62900
 , , , ,[F0041000006] S H O ROHRU M V ACT CHALLAN,1,5100
 , , , ,[F0041000007] S H O ROHRU M V ACT CHALLAN,1,5000
 , , , ,[F0041000008] I P P CITY COMPOUNDING CHALLAN,1,6400
 , , , ,[F0041000018] C M V ACT CHALLAN,1,2300
 , , , ,[F0041000020] S H O ROHRU M V ACT CHALLAN,1,9100
 , , , ,[F0041000030] S H O ROHRU M V ACT,1,4100
 , , , ,[F0041000037] I P P CITY ROHRU COMPOUNDING CHALLAN,1,6100
 , , , ,[F0041000038] S H O ROHRU M V ACT CHALLAN,1,1500
 , , , ,[F0041000044] S H O ROHRU M V ACT CHALLAN,1,5600
 , , , ,[F0041000063] S H O ROHRU M V ACT CHALLAN,1,3200
 , , , ,[F0041000075] S H O ROHRU M V ACT CHALLAN,1,5400
 , , , ,[F0041000096] S H O ROHRU M V ACT CHALLAN,1,1000
 , , , ,[F0041000097] S H O ROHRU M V ACT CHALLAN,1,8100
 , , ,31/05/2017,Total,19,89700
 , , , ,[G0041000006] SHO ROHRU M V ACT CHALLAN,1,4300
 , , , ,[G0041000012] S H O ROHRU M V ACT CHALLAN,1,2000
 , , , ,[G0041000033] S H O ROHRU M V ACT CHALLAN,1,3500
 , , , ,[G0041000039] S H O ROHRU M V ACT CHALLAN,1,1500
 , , , ,[G0041000045] S H O ROHRU M V ACT CHALLAN,1,3200
 , , , ,[G0041000046] S H O ROHRU M V ACT CHALLAN,1,3400
 , , , ,[G0041000058] S H O ROHRU CHALLAN MV ACT,1,5600
 , , , ,[G0041000064] S H O ROHRU M V ACT CHALLAN,1,5000
 , , , ,[G0041000065] S H O ROHRU M V ACT CHALLAN,1,4500
 , , , ,[G0041000066] S H O ROHRU M V ACT CHALLAN,1,7000
 , , , ,[G0041000067] R LA ROHRU M V ACT CHALLAN,1,4000
 , , , ,[G0041000069] S H O ROHRU M V ACT CHALLAN,1,5300
 , , , ,[G0041000080] S H O PS ROHRU M V CHALLAN,1,8200
 , , , ,[G0041000091] SHO POLICE STATION ROHRU M V ACT CHALLAN,1,6100
 , , , ,[G0041000097] INCHARGE POLICE POST CITY ROHRU COMPOUNDING RECEIPT,1,8500
