DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,15,303680
"KNR01-650-E.E. PWD DIVISION, KALPA",Total, , , ,15,303680
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,15,303680
 , ,8782-00-102-00- ,Total, ,15,303680
 , , ,29/04/2017,Total,2,27060
 , , , ,[F8782000001] AE PWD SUB DIV. POOH RECOVRY,1,9060
 , , , ,[F8782000002] AE PWD SUB DIV.POOH RECOVRY FROM CONTRECTOR,1,18000
 , , ,30/06/2017,Total,1,54410
 , , , ,[H8782000001] AE HPPWD SUB DIV. POOH RENT CHARGES,1,54410
 , , ,31/08/2017,Total,1,10340
 , , , ,[J8782000001] AE HPPWD SUB DIV.POOH RENT CHARGES,1,10340
 , , ,21/09/2017,Total,1,19100
 , , , ,[K8782000001] AE HPPWD SUB DIV.POOH RECEIPT FROM CONTRECTOR,1,19100
 , , ,31/10/2017,Total,1,41910
 , , , ,[L8782000001] AE H PPWD POOH MISC RECEIPT,1,41910
 , , ,30/11/2017,Total,1,75250
 , , , ,[M8782000002] A E B R S D POOH MISC RECEIPTR,1,75250
 , , ,30/12/2017,Total,1,1070
 , , , ,[N8782000003] A E P W D POOH MISC RECEIPT,1,1070
 , , ,30/01/2018,Total,1,26270
 , , , ,[C8782000006] A E B R POOH MISC RECEIPT,1,26270
 , , ,28/02/2018,Total,1,2500
 , , , ,[D8782000001] A E H P PW D POOH MISC RECEIPT,1,2500
 , , ,31/03/2018,Total,1,23250
 , , , ,[E8782000004] A E POOH SUBDIVISION H P P W D POOH RECIEVED FROM VARIOUS CONTRACTORS ON A/C OF RENEWAL FEE,1,23250
 , , ,27/04/2018,Total,1,4200
 , , , ,[F8782000001] A E POOH SUBDIVISION H P P W D POOH RECIEVED FROM VARIOUS CONTRACTORS ON A/C OF SELED TENDER FORM,1,4200
 , , ,29/05/2018,Total,1,10950
 , , , ,[G8782000003] A E POOH SUBDIVISION H P P W D POOH RENTAL CHARGES,1,10950
 , , ,27/06/2018,Total,1,1370
 , , , ,[H8782000003] A E POOH SUBDIVISION H P P W D POOH RENTAL CHARGES OF REST HOUSE,1,1370
 , , ,26/07/2018,Total,1,2000
 , , , ,[I8782000002] A E POOH SUBDIVISION H P P W D POOH RENTAL CHARGES OF REST HOUSE,1,2000
 , , ,31/08/2018,Total,1,4000
 , , , ,[J8782000004] A E POOH SUBDIVISION H P P W D POOH RECEIVED FROM VARIOUS CONTRACTORS,1,4000
