DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,31,224325
CHM04-036-ASSTT DIR FISHERIES CHAMBA,Total, , , ,31,224325
 ,0405-FISHERIES,Total, , ,31,224325
 , ,0405-00-011-01-RECEIPTS FROM RENT OF BUILDINGS,Total, ,10,5936
 , , ,31/10/2017,Total,1,1696
 , , , ,"[L0405000002] HIMGRN:B17J123199, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -Rent",1,1696
 , , ,30/11/2017,Total,1,424
 , , , ,"[M0405000002] HIMGRN:B17K128662, FISHERIES OFFIER TROUT FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -Rents",1,424
 , , ,30/12/2017,Total,1,424
 , , , ,"[N0405000001] HIMGRN:B17L128578, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -Rent",1,424
 , , ,30/01/2018,Total,1,424
 , , , ,"[C0405000001] HIMGRN:B18A133988, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -Rent",1,424
 , , ,31/03/2018,Total,1,848
 , , , ,"[E0405000003] HIMGRN:B18C153054, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -",1,848
 , , ,28/04/2018,Total,1,424
 , , , ,"[F0405000002] HIMGRN:B18D169482, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -House Rent",1,424
 , , ,20/06/2018,Total,1,424
 , , , ,"[H0405000001] HIMGRN:B18E151122, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -Rent",1,424
 , , ,30/06/2018,Total,1,424
 , , , ,"[H0405000005] HIMGRN:B18F140207, FISHERIES OFFICER TROT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -House Rent",1,424
 , , ,31/07/2018,Total,1,424
 , , , ,"[I0405000005] HIMGRN:B18G145815, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -House Rent",1,424
 , , ,31/08/2018,Total,1,424
 , , , ,"[J0405000002] HIMGRN:B18H126865, FISHERIES OFFICER TROUT FISH FARM THALLA RECEIPTS FROM RENT OF BUILDINGS -House Rent",1,424
 , ,0405-00-102-01-RECEIPT FROM LICENCE FEES FINES ETC,Total, ,1,1500
 , , ,31/03/2018,Total,1,1500
 , , , ,"[E0405000002] HIMGRN:B18C153046, FISHERIES OFFICER TROUT FISH FARM HOLI RECEIPT FROM LICENCE FEES FINES ETC -",1,1500
 , ,"0405-00-103-01-SALE OF FISH,FISH SEEDS ETC.",Total, ,21,216889
 , , ,29/04/2017,Total,1,4599
 , , , ,"[F0405000001] HIMGRN:B17D170279, FISHERIES OFFICER TROUT FARM HOLI SALE OF FISH,FISH SEEDS ETC. -Sale of Fish 10 .220 KG",1,4599
 , , ,31/05/2017,Total,1,4350
 , , , ,"[G0405000001] HIMGRN:B17E146559, FISHERIES OFFICER TROUT FARM HOLI SALE OF FISH,FISH SEEDS ETC. -Sale Of Fish 8.700Kg",1,4350
 , , ,30/06/2017,Total,1,11300
 , , , ,"[H0405000001] HIMGRN:B17F141428, FISHERIES OFFICER TROUT FISH FARM HOLI SALE OF FISH,FISH SEEDS ETC. -Sale of Fish 22.600 KG",1,11300
 , , ,31/07/2017,Total,1,5000
 , , , ,"[I0405000001] HIMGRN:B17G143069, FISHERES OFFICER TROUT FISH FARM HOLI SALE OF FISH,FISH SEEDS ETC. -Sale of Fish 10 KG",1,5000
 , , ,29/09/2017,Total,2,5500
 , , , ,"[K0405000001] HIMGRN:B17H138906, FISHERIES OFFICER TROUT FARM HOLI SALE OF FISH,FISH SEEDS ETC. -Sale of Fish 5KG",1,2500
