DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,6,3380
KLU03-222-GHS DURAH,Total, , , ,6,3380
 ,"0202-EDUCATION SPORTS,ARTS & CULTURE",Total, , ,6,3380
 , ,0202-01-102-01-TUITION AND OTHER FEES,Total, ,4,380
 , , ,24/04/2017,Total,1,110
 , , , ,"[F0202000007] HIMGRN:B17D153996, HEADMASTER TUITION AND OTHER FEES -",1,110
 , , ,29/08/2017,Total,1,10
 , , , ,"[J0202000010] HIMGRN:B17H120780, HEADMASTER TUITION AND OTHER FEES -",1,10
 , , ,17/03/2018,Total,1,160
 , , , ,"[E0202000002] HIMGRN:B18C109387, HEADMASTER TUITION AND OTHER FEES -",1,160
 , , ,27/04/2018,Total,1,90
 , , , ,"[F0202000007] HIMGRN:B18D152745, HEADMASTER TUITION AND OTHER FEES -",1,90
 , , ,25/06/2018,Total,1,10
 , , , ,"[H0202000006] HIMGRN:B18F126272, HEADMASTER TUITION AND OTHER FEES -",1,10
 , ,0202-01-102-03-MISCELLANEOUS RECEIPTS,Total, ,2,3000
 , , ,19/05/2018,Total,2,3000
 , , , ,"[G0202000010] HIMGRN:B18E113967, HEADMASTER MISCELLANEOUS RECEIPTS -Auction of sports articles",1,600
 , , , ,"[G0202000011] HIMGRN:B18E113946, HEADMASTER MISCELLANEOUS RECEIPTS -Auction of store articles.",1,2400
