DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,3,792007
CHM03-005-C.D.P.O. SALOONI,Total, , , ,3,792007
 ,0049-INTEREST RECEIPTS,Total, , ,2,791177
 , ,0049-04-800-13-MISCELLANEOUS,Total, ,2,791177
 , , ,28/02/2018,Total,1,656876
 , , , ,"[D0049000001] HIMGRN:B18B118117, CDPO SALOONI MISCELLANEOUS -",1,656876
 , , ,31/08/2018,Total,1,134301
 , , , ,"[J0049000001] HIMGRN:B18H121078, CDPO SALOONI MISCELLANEOUS -",1,134301
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,1,830
 , ,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,Total, ,1,830
 , , ,20/03/2018,Total,1,830
 , , , ,"[E0070000001] HIMGRN:B18B127350, CDPO SALOONI RECEIPT FROM RIGHT TO INFORMATION ACT -",1,830
