DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,24,547391
"SOL03-515-ASSTT REG.CO-OP.SOCIETIES, SOLAN",Total, , , ,24,547391
 ,0050-DIVIDENDS & PROFITS,Total, , ,5,80862
 , ,0050-00-200-01-CO-OPERATIVE SOCITIES,Total, ,5,80862
 , , ,31/05/2017,Total,1,18400
 , , , ,"[G0050000001] HIMGRN:B17E132354, BLOCK INSPECTOR CO-OPERATIVE SOCIETY KGT CO-OPERATIVE SOCITIES -The Sayri co-operative Society Ltd Sayri",1,18400
 , , ,30/06/2017,Total,1,5000
 , , , ,"[H0050000001] HIMGRN:B17F145781, BLOCK INSPECTOR COOPRATIVE SOCIETY KANDAGHAT CO-OPERATIVE SOCITIES -The Mahi CAS",1,5000
 , , ,31/07/2017,Total,1,13000
 , , , ,"[I0050000001] HIMGRN:B17G151252, BLOCK INSPECTER CO OP KANDAGHAT CO-OPERATIVE SOCITIES -DIVIDENT CAS PAPLOL OR CHHAUSHA",1,13000
 , , ,31/08/2017,Total,1,4380
 , , , ,"[J0050000001] HIMGRN:B17H140591, BLOCK INSPECTOR KANDAGHAT CO-OPERATIVE SOCITIES -co opsocieteis dividents the hinner CAS",1,4380
 , , ,29/09/2017,Total,1,16129
 , , , ,"[K0050000001] HIMGRN:B17I136069, BLOCK INSPECTOR COOP KANDAGHAT CO-OPERATIVE SOCITIES -GOVT DIVIDENDS FROM CHHAUSHA CAS",1,16129
 , , ,30/06/2018,Total,1,5000
 , , , ,"[H0050000001] HIMGRN:B18F139203, BLOCK INSPECTOR COOP KAKNDAGHAT CO-OPERATIVE SOCITIES -the hinner CAS",1,5000
 , , ,31/07/2018,Total,1,10450
 , , , ,"[I0050000001] HIMGRN:B18G151087, BLOCK INSPECTOR CO OP KANDAGHAT CO-OPERATIVE SOCITIES -co operative socities govt dividends from Mahi CAS",1,10450
 , , ,31/08/2018,Total,1,8503
 , , , ,"[J0050000001] HIMGRN:B18H134018, BLOCK INSPECTOR COOP KAKNDAGHAT CO-OPERATIVE SOCITIES -DIVIDENT FROM THE DANGHEEL CAS",1,8503
 ,0425-CO-OPERATION,Total, , ,19,466529
 , ,0425-00-101-01-RECEIPTS FROM AUDIT FEES,Total, ,7,105029
 , , ,29/09/2017,Total,1,20269
 , , , ,"[K0425000001] HIMGRN:B17I136089, BLOCK INSPECTOR COOP KANDAGHAT RECEIPTS FROM AUDIT FEES -audit fee from society",1,20269
 , , ,31/10/2017,Total,1,17109
 , , , ,"[L0425000001] HIMGRN:B17J139896, BLOCK INSPECTOR COOP SOCIETY KANDAGHAT RECEIPTS FROM AUDIT FEES -AUDIT FEES FROM SOCIETY",1,17109
 , , ,30/11/2017,Total,1,13727
 , , , ,"[M0425000003] HIMGRN:B17K131247, BLOCK INSPECTO COOP RECEIPTS FROM AUDIT FEES -audit fee FROM COOP SOCIETIES",1,13727
 , , ,30/12/2017,Total,1,13519
 , , , ,"[N0425000003] HIMGRN:B17L133466, BLOCK INSPECTOR COOPSOCIETY KANDAGHAT RECEIPTS FROM AUDIT FEES -RECEIVED AUDIT FEE FROM CO OPRATIVE SOCIETY",1,13519
 , , ,30/01/2018,Total,1,8460
 , , , ,"[C0425000003] HIMGRN:B18A140349, BLOCK INSPECTOR COOP KANDAGHAT RECEIPTS FROM AUDIT FEES -RECOVER AUDIT FEE FROM COOPRATIVE SOCIETY",1,8460
 , , ,28/02/2018,Total,1,8051
 , , , ,"[D0425000001] HIMGRN:B18B137862, BLOCK INSPECTOR COOP SOC RECEIPTS FROM AUDIT FEES -",1,8051
 , , ,23/08/2018,Total,1,23894
 , , , ,"[J0425000001] HIMGRN:B18H126048, BLOCK INSPECTOR COOP KAKNDAGHAT RECEIPTS FROM AUDIT FEES -RECEIPT FROM AUDIT FEE CO OPRATIVE SOCIETIES",1,23894
