DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,06/04/2017,[F0070000001] CIVIL JUDGE ANI JUDICIAL FINE,1,300
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,26/04/2017,[F0070000002] CIVIL JUDGE ANI JUDICIAL FINE,1,1000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,26/04/2017,[F0070000004] CIVIL JUDGE ANI JUDICIAL FINE,1,95900
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,26/04/2017,[F0070000005] CIVIL JUDGE ANI JUDICIAL FINE,1,3000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000006] CIVIL JUDGE ANI judicial fine,1,15500
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000008] CIIVL JUDGE ANI JUDICIAL FINE,1,2000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,29/04/2017,[F0070000009] CIVIL JUDGE ANI JUDICIAL FINE,1,9000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/05/2017,[G0070000001] CIVIL JUDGE ANI judicial fine,1,3900
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/05/2017,[G0070000002] CIVIL JUDGE ANI JUDICIAL FINE,1,7100
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,08/05/2017,[G0070000003] CIVIL JUDGE ANI JUDICIAL FINE,1,500
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000004] CIVIL JUDGE ANI judicial fine,1,1000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000006] CIVIL JUDGE ANI U/S446 CRFC AND MV ACT,1,4100
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000007] CIVIL JUDGE ANI JUDICIAL FINE,1,5000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000009] CIVIL JUDGE ANI JUDICIAL FINE,1,800
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000010] CIVIL JUDGE ANI JUDICIAL FINE,1,10000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000012] CIVIL JUDGE ANNI JUDICIAL FINE,1,2000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000013] CIVIL JUDGE ANI JUDICIAL FINE,1,2600
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000014] CIVIL JUDGE ANI FINE AMOUT STATE VS NARENDER,1,20000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000015] CIVIL JUDGE ANI JUDICIAL STAMPS,1,20000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000016] CIVIL JUDGE ANI JUDICIAL FINE,1,3000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000017] CIVIL JUDGE ANI Fine amount state vs Nareder,1,20000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,31/05/2017,[G0070000018] CIVIL JUDGE ANI JUDICIAL FINE,1,6500
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,07/06/2017,[H0070000001] CIVIL JUDGE ANI JUDICIAL FINE,1,31000
KLU02-010-CIVIL JUDGE (JR DIVISION)  ANI,0070-OTHER ADMINISTRATIVE SERVICES,0070-01-102-01-FINES AND FOREFEITURES,17/06/2017,[H0070000002] CIVIL JUDGE ANI U/S 350 CR.PC,1,100
