DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,19,1437491
UNA03-733-IPH DIVISION NO-II UNA,Total, , , ,19,1437491
 ,0070-OTHER ADMINISTRATIVE SERVICES,Total, , ,2,677
 , ,0070-60-800-11-RECEIPT FROM RIGHT TO INFORMATION ACT.,Total, ,2,677
 , , ,23/08/2017,Total,1,320
 , , , ,[J0070000002] ASSTT ENG I&PH SUB DIV BANGANA RTI,1,320
 , , ,21/03/2018,Total,1,357
 , , , ,[E0070000003] ASS ENG IPH SUB DIV BANGANA REC,1,357
 ,8782-CASH REMITTANCES & ADJUSTMENTS,Total, , ,17,1436814
 , ,8782-00-102-00- ,Total, ,17,1436814
 , , ,29/04/2017,Total,1,77230
 , , , ,[F8782000008] A E I&PH SUB DIV BANGANA MISC RECEIPTS,1,77230
 , , ,31/05/2017,Total,1,93432
 , , , ,[G8782000007] I&PH SUB DIV BANGANA MISC RECEIPTS,1,93432
 , , ,30/06/2017,Total,1,162254
 , , , ,[H8782000005] ASSTT ENG IPH SUB DIV BANGANA MISC RECEIPT,1,162254
 , , ,31/07/2017,Total,1,271584
 , , , ,[I8782000001] ASSTT E I&PH SUB DIV BANGANA MISC RECEIPTS,1,271584
 , , ,31/08/2017,Total,1,94351
 , , , ,[J8782000005] ASSTT ENG I&PH SUB DIV BANGANA MISC RECEIPTS,1,94351
 , , ,29/09/2017,Total,1,64373
 , , , ,[K8782000009] ASSTT ENG I&PH SUB DIV BANGANA MISC RECEIPT,1,64373
 , , ,31/10/2017,Total,1,86367
 , , , ,[L8782000003] I&PH SUB DIV BANGANA MISC RECEIPTS,1,86367
 , , ,30/11/2017,Total,1,48793
 , , , ,[M8782000001] A E I&PH SUB DIV BANGANA MISC RECEIPTS,1,48793
 , , ,30/12/2017,Total,1,78068
 , , , ,[N8782000002] ASSTT E I&PH SUB DIV BANGANA MISC RECEIPTS,1,78068
 , , ,30/01/2018,Total,1,166694
 , , , ,[C8782000006] I&PH SUB DIV BANGANA MISC RECEIPTS,1,166694
 , , ,28/02/2018,Total,1,69878
 , , , ,[D8782000005] ASSTT E I PH SUB DIV BANGANA MISC RECEIPTS,1,69878
 , , ,28/03/2018,Total,1,94728
 , , , ,[E8782000004] IPH SUB DIV BANGANA MISC RECEIPT,1,94728
 , , ,27/04/2018,Total,1,27055
 , , , ,[F8782000007] A.E IPH SUB DIVISION BANGANA RECEIPT,1,27055
 , , ,31/05/2018,Total,1,33192
 , , , ,[G8782000004] AE I&PH SUB DIV BANGANA MISC RECEIPTS,1,33192
 , , ,30/06/2018,Total,1,8125
 , , , ,[H8782000004] ASST ENG IPH SUB DIV BANGANA MISC REC,1,8125
 , , ,31/07/2018,Total,1,13250
 , , , ,[I8782000009] ASSTT ENG IPH SUB DIV BANGANA MISC RECEIPTS,1,13250
 , , ,31/08/2018,Total,1,47440
 , , , ,[J8782000006] ASSTT E I&PH SUB DIV BANGANA MISC RECEIPTS,1,47440
