DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-01-SALE OF WOOL,31/08/2018,"[J0403000002] HIMGRN:B18H140657, ASSISTANT DIRECTOR SALE OF LIVESTOCK SALE OF WOOL -",1,103710
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-02-SALE OF LIVESTOCK,31/08/2017,"[J0403000001] HIMGRN:B17H120821, ASSISTANT DIRECTOR SALE OF LIVESTOCK -",1,359000
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-02-SALE OF LIVESTOCK,31/10/2017,"[L0403000002] HIMGRN:B17J138220, ASSISTANT DIRECTOR SALE OF MANURE SALE OF LIVESTOCK -",1,2600
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-02-SALE OF LIVESTOCK,28/02/2018,"[D0403000001] HIMGRN:B18B122304, ASSISTANT DIRECTOR SALE OF LIVESTOCK -",1,4100
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-02-SALE OF LIVESTOCK,31/03/2018,"[E0403000002] HIMGRN:B18C143749, ASSISTANT DIRECTOR SALE OF MANURE SALE OF LIVESTOCK -",1,2600
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-02-SALE OF LIVESTOCK,29/05/2018,"[G0403000002] HIMGRN:B18E136528, ASSISTANT DIRECTOR SALE OF LIVESTOCK -",1,256990
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-02-SALE OF LIVESTOCK,31/07/2018,"[I0403000002] HIMGRN:B18G111164, ASSISTANT DIRECTOR SALE OF LIVESTOCK -",1,408600
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-02-SALE OF LIVESTOCK,31/08/2018,"[J0403000002] HIMGRN:B18H140657, ASSISTANT DIRECTOR SALE OF LIVESTOCK SALE OF WOOL -",1,159675
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,30/06/2017,"[H0403000001] HIMGRN:B17F101564, ASSISTANT DIRECTOR SALE OF MANURE -",1,2850
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,31/08/2017,"[J0403000002] HIMGRN:B17H120848, ASSISTANT DIRECTOR SALE OF MANURE -",1,19950
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,29/09/2017,"[K0403000001] HIMGRN:B17I119522, ASSISTANT DIRECTOR SALE OF MANURE -",1,7265
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,31/10/2017,"[L0403000001] HIMGRN:B17J140821, ASSISTANT DIRECTOR SALE OF MANURE -",1,2850
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,31/10/2017,"[L0403000002] HIMGRN:B17J138220, ASSISTANT DIRECTOR SALE OF MANURE SALE OF LIVESTOCK -",1,16530
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,30/12/2017,"[N0403000001] HIMGRN:B17L128456, ASSISTANT DIRECTOR SALE OF MANURE -",1,3900
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,31/03/2018,"[E0403000002] HIMGRN:B18C143749, ASSISTANT DIRECTOR SALE OF MANURE SALE OF LIVESTOCK -",1,4500
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,27/04/2018,"[F0403000001] HIMGRN:b18d140634, ASSISTANT DIRECTOR SALE OF MANURE -",1,10001
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,29/05/2018,"[G0403000001] HIMGRN:B18E109942, ASSISTANT DIRECTOR SALE OF MANURE -",1,10001
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,30/06/2018,"[H0403000001] HIMGRN:b18f131421, ASSISTANT DIRECTOR SALE OF MANURE -",1,20001
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,31/07/2018,"[I0403000001] HIMGRN:B18G111172, ASSISTANT DIRECTOR SALE OF MANURE -",1,12000
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-04-SALE OF MANURE,31/07/2018,"[I0403000003] HIMGRN:B18G129814, ASSISTANT DIRECTOR SALE OF MANURE -",1,8001
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-104-06-MISCELLANEOUS,31/08/2018,"[J0403000001] HIMGRN:B18H125062, ASSISTANT DIRECTOR MISCELLANEOUS -",1,1000
SML10-016-R.O.SHEEP BREEDING JEORI,0403-ANIMAL HUSBANDRY,0403-00-800-01-RECOVERY OF OVER PAYMENT,30/12/2017,"[N0403000002] HIMGRN:B17L128466, ASSISANT DIRECTOR RECOVERY OF OVER PAYMENT -",1,1024
