DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-07-INTEREST ON LOANS UNDER LIGH SCHEME,30/12/2017,"[N0049000002] HIMGRN:B17L124181, BDO BAIJNATH INTEREST ON LOANS UNDER LIG HOUSING SCHEME -",1,600
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-07-INTEREST ON LOANS UNDER LIGH SCHEME,28/02/2018,"[D0049000003] HIMGRN:B18B130890, BDO BAIJNATH INTEREST ON LOANS UNDER LIG HOUSING SCHEME -",1,5648
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-08-INTEREST ON LOANS UNDER MIGH SCHEME,19/03/2018,"[E0049000003] HIMGRN:B18C109418, BDO BAIJNATH INTEREST ON LOANS UNDER MIG HOUSING SCHEME -",1,1518
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,29/04/2017,"[F0049000001] HIMGRN:B17D175527, BDO BAIJNATH MISCELLANEOUS -",1,406
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,31/05/2017,"[G0049000001] HIMGRN:B17D165253, BDO BAIJNATH MISCELLANEOUS -",1,812
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,30/06/2017,"[H0049000001] HIMGRN:B17F112351, BDO BAIJNATH MISCELLANEOUS -",1,812
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,18/08/2017,"[J0049000001] HIMGRN:B17H101610, BDO BAIJNATH MISCELLANEOUS -",1,1624
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,31/08/2017,"[J0049000002] HIMGRN:B17H101598, BDO BAIJNATH MISCELLANEOUS -",1,406
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,29/09/2017,"[K0049000001] HIMGRN:B17I113579, BDO BAIJNATH MISCELLANEOUS -",1,406
KNG09-004-BLOCK DEV.OFFICER BAIJNATH,0049-INTEREST RECEIPTS,0049-04-800-13-MISCELLANEOUS,24/10/2017,"[L0049000001] HIMGRN:B17I113562, BDO BAIJNATH MISCELLANEOUS -",1,812
