DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
Grand Total, , , , ,3,142810
SML11-004-C.D.P.O. KUMARSAIN,Total, , , ,3,142810
 ,0049-INTEREST RECEIPTS,Total, , ,2,114510
 , ,0049-04-110-01-INT.REALIZED ON INVESTMENT OF CASH BAL.,Total, ,2,114510
 , , ,31/08/2017,Total,1,53756
 , , , ,"[J0049000001] HIMGRN:B17H105245, CDPO KUMARSAIN INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Amount of interest accrued on saving in Bank a/c no",1,53756
 , , ,31/03/2018,Total,1,60754
 , , , ,"[E0049000001] HIMGRN:B18C129039, CDPO KUMARSAIN INTEREST REALIZED ON INVESTMENT OF CASH BALANCE -Interest amount accrued on saving in a/c No. 423101",1,60754
 ,0235-SOCIAL SECURITY & WELFARE,Total, , ,1,28300
 , ,0235-01-800-03-RECEIPTS FROM SCHEMES OF WELFARE DEPTT.,Total, ,1,28300
 , , ,31/08/2017,Total,1,28300
 , , , ,"[J0235000001] HIMGRN:B17H105242, CDPO KUMARSAIN RECEIPTS FROM SCHEMES OF WELFARE DEPTT -Amount received from auction of Project Vehicle , other scra",1,28300
